Reading from standard input... Use '-h' or '--help' for help.
==================================[MINISAT]===================================
| Conflicts |     ORIGINAL     |              LEARNT              | Progress |
|           | Clauses Literals |   Limit Clauses Literals  Lit/Cl |          |
==============================================================================
|         0 | 3915725  9825368 | 1305241       0        0     nan |  0.000 % |
|       109 | 3915726  9825368 | 1435765     108    28583   264.7 |  8.670 % |
|       261 | 3915735  9825368 | 1579341     249    36238   145.5 |  8.670 % |
|       486 | 3915737  9825368 | 1737275     472    70742   149.9 |  8.670 % |
|       824 | 3915744  9825368 | 1911003     802   126757   158.1 |  8.670 % |
|      1332 | 3915746  9825368 | 2102103    1308   190638   145.7 |  8.670 % |
|      2091 | 3915751  9825368 | 2312314    2062   635731   308.3 |  8.670 % |
|      3230 | 3915758  9825368 | 2543545    3194  1058547   331.4 |  8.670 % |
|      4938 | 3915752  9825350 | 2797900    4888  1912881   391.3 |  8.670 % |
|      7501 | 3915765  9825350 | 3077690    7438  2795303   375.8 |  8.670 % |
|     11345 | 3915799  9825350 | 3385459   11236  4186557   372.6 |  8.671 % |
|     17112 | 3915775  9825287 | 3724004   16968  8319786   490.3 |  8.671 % |
|     25774 | 3915778  9825233 | 4096405   25569 14459697   565.5 |  8.673 % |
|     38748 | 3915774  9825179 | 4506045   38498 25224695   655.2 |  8.673 % |
|     58209 | 3915787  9825116 | 4956650   57881 45243158   781.7 |  8.674 % |
|     87403 | 3915843  9825080 | 5452315   86978 71099899   817.4 |  8.674 % |
|    131192 | 3915900  9824945 | 5997547  130592 100183533   767.1 |  8.677 % |
|    196889 | 3916146  9824927 | 6597301  196017 146121685   745.5 |  8.677 % |
|    295415 | 3915972  9824531 | 7257032  294316 222827576   757.1 |  8.682 % |
|    443208 | 3916259  9824477 | 7982735  441747 345741444   782.7 |  8.684 % |
|    664894 | 3916563  9824294 | 8781008  662899 526969259   794.9 |  8.687 % |
|    997420 | 3868650  9756584 | 9659109  964479 766629359   794.9 | 10.061 % |
