Reading from standard input... Use '-h' or '--help' for help.
==================================[MINISAT]===================================
| Conflicts |     ORIGINAL     |              LEARNT              | Progress |
|           | Clauses Literals |   Limit Clauses Literals  Lit/Cl |          |
==============================================================================
|         0 | 3918588  9829582 | 1306196       0        0     nan |  0.000 % |
|       109 | 3918589  9829582 | 1436815     108    28583   264.7 |  8.595 % |
|       259 | 3918599  9829582 | 1580497     245    34981   142.8 |  8.596 % |
|       486 | 3918609  9829582 | 1738546     462    58041   125.6 |  8.596 % |
|       823 | 3918613  9829582 | 1912401     794   126430   159.2 |  8.596 % |
|      1331 | 3918622  9829582 | 2103641    1292   189431   146.6 |  8.596 % |
|      2093 | 3918627  9829582 | 2314005    2049   427762   208.8 |  8.596 % |
|      3232 | 3918630  9829582 | 2545406    3185   782082   245.6 |  8.596 % |
|      4941 | 3918629  9829546 | 2799947    4861  1230334   253.1 |  8.596 % |
|      7509 | 3918658  9829546 | 3079941    7399  5211276   704.3 |  8.596 % |
|     11355 | 3918676  9829519 | 3387936   11202 10088148   900.6 |  8.596 % |
|     17121 | 3918720  9829519 | 3726729   16915 12190944   720.7 |  8.601 % |
|     25771 | 3918756  9829519 | 4099402   25527 17092604   669.6 |  9.319 % |
|     38745 | 3891201  9786616 | 4509342   38180 22658615   593.5 |  9.325 % |
|     58209 | 3891339  9786544 | 4960277   57428 36219122   630.7 |  9.326 % |
|     87401 | 3891446  9786508 | 5456304   86469 61397401   710.1 |  9.327 % |
|    131193 | 3891535  9786436 | 6001935  130090 97450950   749.1 |  9.328 % |
|    196878 | 3891777  9786382 | 6602128  195444 149192129   763.3 |  9.342 % |
|    295404 | 3891291  9785641 | 7262341  293701 220789652   751.7 |  9.343 % |
|    443196 | 3891469  9785542 | 7988575  441168 339191021   768.8 |  9.345 % |
|    664879 | 3889712  9783238 | 8787433  662399 497397254   750.9 |  9.422 % |
|    997405 | 3888636  9781096 | 9666176  993834 770641579   775.4 |  9.436 % |
