Reading from standard input... Use '-h' or '--help' for help.
==================================[MINISAT]===================================
| Conflicts |     ORIGINAL     |              LEARNT              | Progress |
|           | Clauses Literals |   Limit Clauses Literals  Lit/Cl |          |
==============================================================================
|         0 | 3918063  9828391 | 1306021       0        0     nan |  0.000 % |
|       109 | 3918064  9828391 | 1436623     108    28583   264.7 |  8.613 % |
|       273 | 3918068  9828391 | 1580285     267    83035   311.0 |  8.613 % |
|       498 | 3918075  9828391 | 1738313     485   136239   280.9 |  8.613 % |
|       837 | 3918078  9828391 | 1912145     821   342572   417.3 |  8.613 % |
|      1346 | 3918083  9828391 | 2103359    1325   746093   563.1 |  8.613 % |
|      2107 | 3918086  9828391 | 2313695    2082  1403901   674.3 |  8.614 % |
|      3246 | 3918092  9828373 | 2545065    3199  1991135   622.4 |  8.614 % |
|      4955 | 3918106  9828373 | 2799572    4892  3544641   724.6 |  8.614 % |
|      7517 | 3918133  9828373 | 3079529    7427  5250023   706.9 |  8.614 % |
|     11362 | 3918140  9828346 | 3387482   11239  9040741   804.4 |  8.614 % |
|     17129 | 3918188  9828328 | 3726230   16940 13487785   796.2 |  8.614 % |
|     25779 | 3918182  9828202 | 4098853   25456 18177765   714.1 |  8.616 % |
|     38754 | 3918226  9828166 | 4508738   38344 27520736   717.7 |  8.617 % |
|     58228 | 3918294  9828103 | 4959612   57679 46578417   807.5 |  8.618 % |
|     87420 | 3918366  9828076 | 5455573   86767 69531297   801.4 |  8.619 % |
|    131210 | 3918614  9828031 | 6001131  130250 93047784   714.4 |  8.621 % |
|    196897 | 3918670  9827830 | 6601244  195658 150802552   770.7 |  8.623 % |
|    295423 | 3918772  9827740 | 7261368  293972 233344794   793.8 |  8.628 % |
|    443218 | 3918714  9827377 | 7987505  441440 352794552   799.2 |  8.630 % |
|    664901 | 3919059  9827332 | 8786256  662680 533041242   804.4 |  8.632 % |
|    997426 | 3919200  9827179 | 9664881  994844 816223278   820.5 |  8.635 % |
