Reading from standard input... Use '-h' or '--help' for help.
==================================[MINISAT]===================================
| Conflicts |     ORIGINAL     |              LEARNT              | Progress |
|           | Clauses Literals |   Limit Clauses Literals  Lit/Cl |          |
==============================================================================
|         0 | 3917747  9828471 | 1305915       0        0     nan |  0.000 % |
|       109 | 3917748  9828471 | 1436506     108    28583   264.7 |  8.618 % |
|       259 | 3917754  9828471 | 1580157     251    62847   250.4 |  8.618 % |
|       484 | 3917759  9828471 | 1738172     471    72744   154.4 |  8.618 % |
|       823 | 3917771  9828471 | 1911990     797   210588   264.2 |  8.620 % |
|      1330 | 3917776  9828471 | 2103189    1299   416888   320.9 |  8.620 % |
|      2089 | 3917682  9828372 | 2313508    2050   500892   244.3 |  8.620 % |
|      3229 | 3917704  9828372 | 2544858    3168   733775   231.6 |  8.620 % |
|      4938 | 3892080  9788577 | 2799344    4795   996775   207.9 |  9.294 % |
|      7503 | 3891997  9788397 | 3079279    7308  1768161   241.9 |  9.296 % |
|     11347 | 3891733  9788067 | 3387207   11107  3435181   309.3 |  9.302 % |
|     17113 | 3891660  9787827 | 3725927   16816  6097354   362.6 |  9.306 % |
|     25762 | 3891624  9787737 | 4098520   25397 11030319   434.3 |  9.307 % |
|     38736 | 3891691  9787728 | 4508372   38285 22016449   575.1 |  9.307 % |
|     58198 | 3891095  9787098 | 4959210   57638 38600479   669.7 |  9.326 % |
|     87390 | 3891067  9786963 | 5455131   86678 51082267   589.3 |  9.355 % |
|    131181 | 3890309  9785804 | 6000644  130206 78211282   600.7 |  9.358 % |
|    196866 | 3890383  9785696 | 6600708  195717 127862319   653.3 |  9.359 % |
|    295393 | 3890274  9785168 | 7260779  293873 175112733   595.9 |  9.393 % |
|    443183 | 3884500  9777362 | 7986857  439993 289967995   659.0 |  9.513 % |
|    664867 | 3883554  9776044 | 8785543  660963 474730373   718.2 |  9.541 % |
|    997394 | 3883610  9775615 | 9664097  993022 790387757   795.9 |  9.546 % |
