Reading from standard input... Use '-h' or '--help' for help.
==================================[MINISAT]===================================
| Conflicts |     ORIGINAL     |              LEARNT              | Progress |
|           | Clauses Literals |   Limit Clauses Literals  Lit/Cl |          |
==============================================================================
|         0 | 3915803  9825339 | 1305267       0        0     nan |  0.000 % |
|       109 | 3915804  9825339 | 1435793     108    28583   264.7 |  8.669 % |
|       259 | 3915810  9825339 | 1579373     251    35385   141.0 |  8.669 % |
|       492 | 3915813  9825339 | 1737310     481    93093   193.5 |  8.669 % |
|       833 | 3915819  9825339 | 1911041     815   202303   248.2 |  8.669 % |
|      1339 | 3915823  9825339 | 2102145    1317   494756   375.7 |  8.669 % |
|      2099 | 3915847  9825339 | 2312360    2053   719580   350.5 |  8.669 % |
|      3238 | 3915835  9825321 | 2543596    3190   869058   272.4 |  8.669 % |
|      4946 | 3915847  9825321 | 2797955    4886  2875837   588.6 |  8.669 % |
|      7509 | 3915860  9825312 | 3077751    7426  5945144   800.6 |  8.670 % |
|     11355 | 3915885  9825294 | 3385526   11228  9198052   819.2 |  8.670 % |
|     17121 | 3915899  9825294 | 3724079   16980 12928986   761.4 |  8.670 % |
|     25777 | 3915990  9825285 | 4096486   25528 16277983   637.7 |  9.271 % |
|     38751 | 3890919  9784361 | 4506135   37502 20066623   535.1 |  9.303 % |
|     58216 | 3890776  9784073 | 4956749   56830 32726663   575.9 |  9.309 % |
|     87413 | 3890904  9783947 | 5452424   85780 48360252   563.8 |  9.310 % |
|    131203 | 3891094  9783938 | 5997666  129363 72681810   561.8 |  9.310 % |
|    196887 | 3891253  9783851 | 6597433  194754 120675595   619.6 |  9.314 % |
|    295413 | 3891683  9783788 | 7257176  292781 160100094   546.8 |  9.328 % |
|    443202 | 3891046  9782243 | 7982894  439703 253336406   576.2 |  9.361 % |
|    664885 | 3890504  9781055 | 8781183  660808 444547791   672.7 |  9.366 % |
|    997413 | 3890751  9780848 | 9659302  992809 715885625   721.1 |  9.370 % |
