Reading from standard input... Use '-h' or '--help' for help.
==================================[MINISAT]===================================
| Conflicts |     ORIGINAL     |              LEARNT              | Progress |
|           | Clauses Literals |   Limit Clauses Literals  Lit/Cl |          |
==============================================================================
|         0 | 3917394  9827799 | 1305798       0        0     nan |  0.000 % |
|       109 | 3917395  9827799 | 1436377     108    28583   264.7 |  8.630 % |
|       260 | 3917399  9827799 | 1580015     254    56295   221.6 |  8.630 % |
|       485 | 3917401  9827799 | 1738017     477    82484   172.9 |  8.630 % |
|       828 | 3917409  9827799 | 1911818     812   182760   225.1 |  8.630 % |
|      1335 | 3917416  9827799 | 2103000    1312   482969   368.1 |  8.630 % |
|      2096 | 3917422  9827799 | 2313300    2067   849692   411.1 |  8.630 % |
|      3236 | 3917437  9827799 | 2544630    3192  1184409   371.1 |  8.630 % |
|      4947 | 3917457  9827790 | 2799093    4875  2046147   419.7 |  8.630 % |
|      7509 | 3917500  9827790 | 3079003    7393  2707224   366.2 |  8.630 % |
|     11353 | 3917500  9827772 | 3386903   11221  5078159   452.6 |  8.631 % |
|     17119 | 3917689  9827766 | 3725594   16782 15842495   944.0 |  9.206 % |
|     25768 | 3894802  9791276 | 4098153   24669 19471798   789.3 |  9.206 % |
|     38742 | 3894904  9791276 | 4507968   37526 26991492   719.3 |  9.219 % |
|     58207 | 3894179  9790073 | 4958765   56823 41937065   738.0 |  9.221 % |
|     87400 | 3894284  9790019 | 5454642   85852 63007406   733.9 |  9.222 % |
|    131190 | 3894380  9789965 | 6000106  129482 99294791   766.9 |  9.223 % |
|    196880 | 3894515  9789920 | 6600117  194964 150451338   771.7 |  9.225 % |
|    295408 | 3894585  9789812 | 7260128  293237 221935631   756.8 |  9.227 % |
|    443197 | 3894790  9789722 | 7986141  440709 338730406   768.6 |  9.236 % |
|    664881 | 3894633  9789245 | 8784755  662057 528813377   798.7 |  9.238 % |
|    997408 | 3894739  9789110 | 9663231  994275 824967377   829.7 |  9.241 % |
