Reading from standard input... Use '-h' or '--help' for help.
==================================[MINISAT]===================================
| Conflicts |     ORIGINAL     |              LEARNT              | Progress |
|           | Clauses Literals |   Limit Clauses Literals  Lit/Cl |          |
==============================================================================
|         0 | 3917511  9829332 | 1305837       0        0     nan |  0.000 % |
|       109 | 3917512  9829332 | 1436420     108    28583   264.7 |  8.618 % |
|       260 | 3917519  9829332 | 1580062     251    43608   173.7 |  8.618 % |
|       486 | 3917529  9829332 | 1738069     466   119199   255.8 |  8.619 % |
|       824 | 3917530  9829332 | 1911875     803   151346   188.5 |  8.619 % |
|      1331 | 3917536  9829332 | 2103063    1304   197874   151.7 |  8.619 % |
|      2091 | 3917545  9829332 | 2313369    2054   375399   182.8 |  8.619 % |
|      3234 | 3917503  9829236 | 2544706    3188   723372   226.9 |  8.619 % |
|      4946 | 3917540  9829236 | 2799177    4862  1490368   306.5 |  8.619 % |
|      7509 | 3917579  9829236 | 3079095    7385  2471360   334.6 |  8.619 % |
|     11355 | 3917584  9829218 | 3387004   11210  4006933   357.4 |  8.619 % |
|     17125 | 3917606  9829200 | 3725705   16933  6608550   390.3 |  8.620 % |
|     25775 | 3917633  9829155 | 4098275   25504 11450396   449.0 |  8.621 % |
|     38753 | 3917695  9829155 | 4508103   38420 18775883   488.7 |  8.621 % |
|     58214 | 3917780  9829083 | 4958913   57730 32044822   555.1 |  8.621 % |
|     87406 | 3917822  9829029 | 5454805   86824 53338830   614.3 |  8.622 % |
|    131198 | 3917917  9828984 | 6000285  130464 87569158   671.2 |  8.623 % |
|    196884 | 3918102  9828912 | 6600314  195877 133232634   680.2 |  8.624 % |
|    295410 | 3918021  9828498 | 7260345  294064 190719813   648.6 |  8.631 % |
|    443199 | 3918104  9828471 | 7986380  441735 233461377   528.5 |  8.631 % |
|    664887 | 3918411  9828369 | 8785018  662945 405470197   611.6 |  9.666 % |
|    997412 | 3881533  9773855 | 9663520  994696 683053415   686.7 |  9.689 % |
