Reading from standard input... Use '-h' or '--help' for help.
==================================[MINISAT]===================================
| Conflicts |     ORIGINAL     |              LEARNT              | Progress |
|           | Clauses Literals |   Limit Clauses Literals  Lit/Cl |          |
==============================================================================
|         0 | 3916421  9826920 | 1305473       0        0     nan |  0.000 % |
|       109 | 3916422  9826920 | 1436020     108    28583   264.7 |  8.655 % |
|       260 | 3916426  9826920 | 1579622     254    56295   221.6 |  8.655 % |
|       485 | 3916428  9826920 | 1737584     477    82484   172.9 |  8.655 % |
|       823 | 3916432  9826920 | 1911343     811   215130   265.3 |  8.655 % |
|      1330 | 3916442  9826920 | 2102477    1308   416062   318.1 |  8.655 % |
|      2091 | 3916451  9826920 | 2312725    2058   729464   354.5 |  8.656 % |
|      3231 | 3916465  9826920 | 2543997    3183   849628   266.9 |  8.657 % |
|      4939 | 3916505  9826920 | 2798397    4851  1548549   319.2 |  8.657 % |
|      7503 | 3916421  9826803 | 3078237    7380  3798875   514.8 |  8.657 % |
|     11351 | 3916441  9826785 | 3386060   11182  8040380   719.0 |  8.658 % |
|     17118 | 3916481  9826767 | 3724666   16889 10998523   651.2 |  8.658 % |
|     25767 | 3916537  9826713 | 4097133   25438 15280633   600.7 |  8.659 % |
|     38741 | 3916627  9826677 | 4506846   38283 27666926   722.7 |  8.659 % |
|     58202 | 3916672  9826641 | 4957531   57661 43895209   761.3 |  8.660 % |
|     87395 | 3916754  9826602 | 5453284   86729 69261437   798.6 |  8.661 % |
|    131187 | 3916802  9826548 | 5998613  130396 106773918   818.8 |  8.662 % |
|    196871 | 3893913  9789746 | 6598474  195427 152211899   778.9 |  9.246 % |
|    295400 | 3893810  9789401 | 7258321  293707 233042104   793.5 |  9.251 % |
|    443189 | 3893936  9789257 | 7984154  441206 363523609   823.9 |  9.254 % |
|    664873 | 3894181  9789239 | 8782569  662591 558151887   842.4 |  9.255 % |
|    997398 | 3894278  9789140 | 9660826  994860 866120519   870.6 |  9.259 % |
