Reading from standard input... Use '-h' or '--help' for help.
==================================[MINISAT]===================================
| Conflicts |     ORIGINAL     |              LEARNT              | Progress |
|           | Clauses Literals |   Limit Clauses Literals  Lit/Cl |          |
==============================================================================
|         0 | 3916990  9829206 | 1305663       0        0     nan |  0.000 % |
|       109 | 3916991  9829206 | 1436229     108    28583   264.7 |  8.631 % |
|       260 | 3916998  9829206 | 1579852     251    43608   173.7 |  8.631 % |
|       486 | 3917016  9829206 | 1737837     458   184005   401.8 |  8.631 % |
|       823 | 3917019  9829206 | 1911621     792   271552   342.9 |  8.631 % |
|      1330 | 3917025  9829206 | 2102783    1293   965466   746.7 |  8.631 % |
|      2092 | 3917039  9829206 | 2313061    2041  1223617   599.5 |  8.631 % |
|      3231 | 3917053  9829206 | 2544367    3166  1575585   497.7 |  8.631 % |
|      4942 | 3917045  9829119 | 2798804    4842  2114056   436.6 |  8.632 % |
|      7506 | 3917081  9829119 | 3078685    7366  3038410   412.5 |  8.632 % |
|     11370 | 3917093  9829074 | 3386553   11170  5360912   479.9 |  8.633 % |
|     17136 | 3917099  9829029 | 3725208   16883  8814759   522.1 |  8.633 % |
|     25786 | 3917129  9829029 | 4097729   25503 14719440   577.2 |  8.633 % |
|     38761 | 3917230  9829011 | 4507502   38353 20999242   547.5 |  8.634 % |
|     58225 | 3917285  9828951 | 4958253   57699 68255653  1183.0 |  8.635 % |
|     87422 | 3917229  9828677 | 5454078   86658 99205548  1144.8 |  8.639 % |
|    131211 | 3917497  9828650 | 5999486  130145 124329076   955.3 |  8.639 % |
|    196895 | 3875930  9768537 | 6599434  194134 176170733   907.5 |  9.833 % |
|    295422 | 3874515  9766327 | 7259378  292255 257608040   881.4 |  9.897 % |
|    443211 | 3873887  9765328 | 7985316  439614 376058718   855.4 |  9.901 % |
|    664895 | 3874124  9765217 | 8783847  660892 564001339   853.4 |  9.903 % |
|    997420 | 3874284  9765007 | 9662232  992978 848340967   854.3 |  9.909 % |
