Reading from standard input... Use '-h' or '--help' for help.
==================================[MINISAT]===================================
| Conflicts |     ORIGINAL     |              LEARNT              | Progress |
|           | Clauses Literals |   Limit Clauses Literals  Lit/Cl |          |
==============================================================================
|         0 | 3913438  9822720 | 1304479       0        0     nan |  0.000 % |
|       109 | 3913439  9822720 | 1434926     108    28583   264.7 |  8.734 % |
|       259 | 3913445  9822720 | 1578419     251    35385   141.0 |  8.734 % |
|       485 | 3913449  9822720 | 1736261     473    89597   189.4 |  8.734 % |
|       823 | 3913453  9822720 | 1909887     807   217272   269.2 |  8.734 % |
|      1329 | 3913456  9822720 | 2100876    1310   345262   263.6 |  8.734 % |
|      2089 | 3913463  9822720 | 2310964    2063   491569   238.3 |  8.734 % |
|      3237 | 3913475  9822702 | 2542060    3183  1075263   337.8 |  8.734 % |
|      4945 | 3913511  9822702 | 2796266    4855  1926017   396.7 |  8.734 % |
|      7509 | 3913534  9822702 | 3075893    7394  4384585   593.0 |  8.734 % |
|     11354 | 3913556  9822675 | 3383482   11193  7193404   642.7 |  8.735 % |
|     17123 | 3913571  9822648 | 3721830   16916 11309391   668.6 |  8.735 % |
|     25772 | 3913607  9822603 | 4094013   25490 16739345   656.7 |  8.736 % |
|     38746 | 3913682  9822594 | 4503415   38373 27643769   720.4 |  8.736 % |
|     58207 | 3913740  9822540 | 4953756   57721 38898976   673.9 |  8.737 % |
|     87402 | 3913872  9822513 | 5449132   86737 58982287   680.0 |  8.738 % |
|    131191 | 3914013  9822423 | 5994045  130277 83780903   643.1 |  8.740 % |
|    196875 | 3914137  9822351 | 6593450  195755 117826224   601.9 |  8.741 % |
|    295402 | 3914243  9822252 | 7252795  294043 185767114   631.8 |  8.746 % |
|    443191 | 3914271  9821910 | 7978074  441445 294734781   667.7 |  8.748 % |
|    664878 | 3914511  9821811 | 8775882  662766 471307328   711.1 |  8.750 % |
|    997407 | 3914678  9821721 | 9653470  994972 801262479   805.3 |  8.753 % |
