Reading from standard input... Use '-h' or '--help' for help.
==================================[MINISAT]===================================
| Conflicts |     ORIGINAL     |              LEARNT              | Progress |
|           | Clauses Literals |   Limit Clauses Literals  Lit/Cl |          |
==============================================================================
|         0 | 3916362  9826667 | 1305454       0        0     nan |  0.000 % |
|       109 | 3916363  9826667 | 1435999     108    28583   264.7 |  8.655 % |
|       259 | 3916372  9826667 | 1579599     247    37071   150.1 |  8.655 % |
|       484 | 3916373  9826667 | 1737559     471   161151   342.1 |  8.655 % |
|       821 | 3916396  9826667 | 1911315     785   200738   255.7 |  8.655 % |
|      1328 | 3916403  9826667 | 2102446    1284   278285   216.7 |  8.655 % |
|      2087 | 3916410  9826667 | 2312691    2036   466706   229.2 |  8.655 % |
|      3226 | 3916455  9826667 | 2543960    3128   640448   204.7 |  8.656 % |
|      4935 | 3916441  9826622 | 2798356    4814  2395986   497.7 |  8.656 % |
|      7497 | 3916445  9826595 | 3078192    7345  3775940   514.1 |  8.656 % |
|     11341 | 3916486  9826577 | 3386011   11119  5593209   503.0 |  8.657 % |
|     17108 | 3916594  9826577 | 3724612   16776  7517855   448.1 |  8.657 % |
|     25759 | 3916609  9826541 | 4097073   25354 14185541   559.5 |  8.658 % |
|     38734 | 3916650  9826487 | 4506781   38235 21522261   562.9 |  8.658 % |
|     58197 | 3916688  9826463 | 4957459   57626 36679107   636.5 |  8.659 % |
|     87389 | 3916799  9826418 | 5453205   86650 55903090   645.2 |  8.660 % |
|    131180 | 3916994  9826355 | 5998525  130183 85672005   658.1 |  8.662 % |
|    196865 | 3917019  9826202 | 6598378  195687 139750944   714.2 |  8.663 % |
|    295392 | 3916890  9825851 | 7258216  293995 221386148   753.0 |  8.668 % |
|    443182 | 3917023  9825761 | 7984037  441532 354538594   803.0 |  8.670 % |
|    664866 | 3917218  9825680 | 8782441  662895 541060166   816.2 |  8.674 % |
|    997396 | 3917322  9825458 | 9660685  994979 807477589   811.6 |  8.678 % |
