Reading from standard input... Use '-h' or '--help' for help.
==================================[MINISAT]===================================
| Conflicts |     ORIGINAL     |              LEARNT              | Progress |
|           | Clauses Literals |   Limit Clauses Literals  Lit/Cl |          |
==============================================================================
|         0 | 3917749  9828478 | 1305916       0        0     nan |  0.000 % |
|       109 | 3917750  9828478 | 1436507     108    28583   264.7 |  8.619 % |
|       273 | 3917754  9828478 | 1580158     267    83035   311.0 |  8.619 % |
|       499 | 3917760  9828478 | 1738174     487   120286   247.0 |  8.619 % |
|       843 | 3917766  9828478 | 1911991     825   237594   288.0 |  8.619 % |
|      1349 | 3917773  9828478 | 2103190    1324   373417   282.0 |  8.619 % |
|      2110 | 3917771  9828469 | 2313509    2080   789834   379.7 |  8.619 % |
|      3249 | 3917798  9828469 | 2544860    3191  1062070   332.8 |  8.619 % |
|      4957 | 3917845  9828469 | 2799346    4852  1617551   333.4 |  8.619 % |
|      7519 | 3917914  9828469 | 3079281    7334  2087405   284.6 |  8.619 % |
|     11363 | 3917930  9828469 | 3387209   11162  3524855   315.8 |  8.619 % |
|     17132 | 3917951  9828457 | 3725930   16897  7170629   424.4 |  8.620 % |
|     25784 | 3918041  9828349 | 4098523   25345 10585747   417.7 |  8.624 % |
|     38758 | 3917807  9828061 | 4508376   38290 27734752   724.3 |  8.624 % |
|     58222 | 3917979  9827977 | 4959213   57544 37491395   651.5 |  9.378 % |
|     87414 | 3889412  9783942 | 5455135   85955 53309601   620.2 |  9.393 % |
|    131203 | 3888622  9782613 | 6000648  129414 75690379   584.9 |  9.401 % |
|    196891 | 3888628  9782280 | 6600713  194729 108742150   558.4 |  9.405 % |
|    295418 | 3888802  9782001 | 7260784  292783 187849278   641.6 |  9.410 % |
|    443208 | 3888886  9781746 | 7986863  440210 310952822   706.4 |  9.416 % |
|    664894 | 3889022  9781412 | 8785549  661383 483971996   731.8 |  9.422 % |
|    997422 | 3888008  9779926 | 9664104  993260 775869121   781.1 |  9.448 % |
