Reading from standard input... Use '-h' or '--help' for help.
==================================[MINISAT]===================================
| Conflicts |     ORIGINAL     |              LEARNT              | Progress |
|           | Clauses Literals |   Limit Clauses Literals  Lit/Cl |          |
==============================================================================
|         0 | 3918534  9829560 | 1306178       0        0     nan |  0.000 % |
|       109 | 3918535  9829560 | 1436795     108    28583   264.7 |  8.597 % |
|       259 | 3918544  9829560 | 1580475     247    39559   160.2 |  8.597 % |
|       486 | 3918547  9829560 | 1738522     471    60593   128.6 |  8.597 % |
|       824 | 3918550  9829560 | 1912375     806   164093   203.6 |  8.597 % |
|      1330 | 3918560  9829560 | 2103612    1302   418188   321.2 |  8.597 % |
|      2090 | 3918568  9829560 | 2313974    2054   549701   267.6 |  8.597 % |
|      3229 | 3918590  9829560 | 2545371    3171  1121475   353.7 |  8.597 % |
|      4937 | 3918580  9829542 | 2799908    4874  1569331   322.0 |  8.597 % |
|      7499 | 3918648  9829542 | 3079899    7368  2745237   372.6 |  8.597 % |
|     11343 | 3891855  9787406 | 3387889   10913  3679415   337.2 |  9.305 % |
|     17109 | 3891499  9786884 | 3726678   16569  6554152   395.6 |  9.345 % |
|     25759 | 3890454  9785606 | 4099346   25068 12501947   498.7 |  9.346 % |
|     38733 | 3890512  9785543 | 4509280   37907 22213061   586.0 |  9.347 % |
|     58194 | 3890573  9785525 | 4960208   57280 36509260   637.4 |  9.349 % |
|     87387 | 3890662  9785435 | 5456229   86308 64991464   753.0 |  9.349 % |
|    131177 | 3890776  9785390 | 6001852  129933 102403251   788.1 |  9.350 % |
|    196861 | 3890859  9785306 | 6602037  195426 155259987   794.5 |  9.357 % |
|    295388 | 3890829  9784925 | 7262241  293587 232219283   791.0 |  9.358 % |
|    443179 | 3890565  9784178 | 7988465  440911 352337001   799.1 |  9.390 % |
|    664863 | 3889882  9782708 | 8787312  661914 516739156   780.7 |  9.402 % |
|    997391 | 3890029  9782342 | 9666043  994000 794275106   799.1 |  9.405 % |
