Reading from standard input... Use '-h' or '--help' for help.
==================================[MINISAT]===================================
| Conflicts |     ORIGINAL     |              LEARNT              | Progress |
|           | Clauses Literals |   Limit Clauses Literals  Lit/Cl |          |
==============================================================================
|         0 | 3918075  9829473 | 1306025       0        0     nan |  0.000 % |
|       109 | 3918076  9829473 | 1436627     108    28583   264.7 |  8.605 % |
|       260 | 3918083  9829473 | 1580290     251    43608   173.7 |  8.606 % |
|       485 | 3918086  9829473 | 1738319     472   192961   408.8 |  8.606 % |
|       825 | 3918090  9829473 | 1912151     808   240686   297.9 |  8.606 % |
|      1331 | 3918103  9829473 | 2103366    1301   537616   413.2 |  8.606 % |
|      2093 | 3918111  9829473 | 2313702    2055   987608   480.6 |  8.606 % |
|      3235 | 3918120  9829473 | 2545073    3188  1297848   407.1 |  8.606 % |
|      4944 | 3918097  9829386 | 2799580    4878  1735012   355.7 |  8.606 % |
|      7508 | 3918123  9829386 | 3079538    7415  2897726   390.8 |  8.606 % |
|     11352 | 3918157  9829368 | 3387492   11196  4549439   406.3 |  8.607 % |
|     17119 | 3918191  9829332 | 3726241   16898  8279860   490.0 |  8.607 % |
|     25769 | 3918290  9829305 | 4098865   25427 11878352   467.2 |  8.607 % |
|     38744 | 3918386  9829305 | 4508752   38287 20664042   539.7 |  8.608 % |
|     58205 | 3918488  9829287 | 4959627   57617 38875112   674.7 |  9.466 % |
|     87397 | 3887308  9781944 | 5455590   86112 48874308   567.6 |  9.482 % |
|    131188 | 3877285  9769274 | 6001149  127036 73998333   582.5 |  9.702 % |
|    196877 | 3877375  9769166 | 6601264  192518 131114592   681.1 |  9.703 % |
|    295403 | 3877573  9769070 | 7261391  290693 189827737   653.0 |  9.721 % |
|    443192 | 3877344  9768104 | 7987530  437911 290705613   663.8 |  9.726 % |
|    664876 | 3877439  9767801 | 8786283  659168 456600760   692.7 |  9.730 % |
|    997404 | 3877597  9767684 | 9664911  991314 731580725   738.0 |  9.737 % |
