Reading from standard input... Use '-h' or '--help' for help.
==================================[MINISAT]===================================
| Conflicts |     ORIGINAL     |              LEARNT              | Progress |
|           | Clauses Literals |   Limit Clauses Literals  Lit/Cl |          |
==============================================================================
|         0 | 3918137  9829522 | 1306045       0        0     nan |  0.000 % |
|       109 | 3918138  9829522 | 1436649     108    28583   264.7 |  8.605 % |
|       259 | 3918147  9829522 | 1580314     247    39559   160.2 |  8.605 % |
|       485 | 3918149  9829522 | 1738345     471    86828   184.3 |  8.605 % |
|       824 | 3918152  9829522 | 1912180     807   144972   179.6 |  8.605 % |
|      1333 | 3918172  9829522 | 2103398    1296   294458   227.2 |  8.605 % |
|      2095 | 3918188  9829522 | 2313738    2039   676228   331.6 |  8.605 % |
|      3234 | 3918197  9829522 | 2545112    3169  1248778   394.1 |  8.605 % |
|      4944 | 3918188  9829486 | 2799623    4855  2230127   459.3 |  8.606 % |
|      7508 | 3918235  9829486 | 3079585    7371  3079182   417.7 |  8.606 % |
|     11354 | 3918227  9829459 | 3387544   11203  5189608   463.2 |  8.606 % |
|     17120 | 3918248  9829450 | 3726298   16931  6738003   398.0 |  8.607 % |
|     25769 | 3918220  9829369 | 4098928   25529 12550580   491.6 |  8.607 % |
|     38743 | 3918383  9829369 | 4508821   38333 16844513   439.4 |  8.609 % |
|     58216 | 3885201  9779741 | 4959703   57131 33145596   580.2 |  9.511 % |
|     87408 | 3885227  9779678 | 5455674   86192 56098702   650.9 |  9.520 % |
|    131197 | 3885042  9779291 | 6001241  129844 88568515   682.1 |  9.520 % |
|    196883 | 3885265  9779246 | 6601365  195244 137562167   704.6 |  9.525 % |
|    295411 | 3885198  9778985 | 7261502  293564 217640252   741.4 |  9.532 % |
|    443201 | 3880684  9772709 | 7987652  440061 335403616   762.2 |  9.639 % |
|    664886 | 3880692  9772343 | 8786417  661415 513927895   777.0 |  9.645 % |
|    997411 | 3880065  9771164 | 9665059  993498 757734353   762.7 |  9.688 % |
