Reading from standard input... Use '-h' or '--help' for help.
==================================[MINISAT]===================================
| Conflicts |     ORIGINAL     |              LEARNT              | Progress |
|           | Clauses Literals |   Limit Clauses Literals  Lit/Cl |          |
==============================================================================
|         0 | 3918140  9829521 | 1306046       0        0     nan |  0.000 % |
|       109 | 3918141  9829521 | 1436650     108    28583   264.7 |  8.604 % |
|       260 | 3918148  9829521 | 1580315     251    43608   173.7 |  8.604 % |
|       486 | 3918150  9829521 | 1738347     474   196128   413.8 |  8.605 % |
|       823 | 3918153  9829521 | 1912181     808   475820   588.9 |  8.605 % |
|      1329 | 3918172  9829521 | 2103400    1295   602042   464.9 |  8.605 % |
|      2089 | 3918188  9829521 | 2313740    2039   915943   449.2 |  8.605 % |
|      3228 | 3918208  9829521 | 2545114    3155  1125959   356.9 |  8.605 % |
|      4936 | 3918169  9829407 | 2799625    4841  1641133   339.0 |  8.605 % |
|      7498 | 3918212  9829407 | 3079588    7360  2566157   348.7 |  8.605 % |
|     11342 | 3918230  9829407 | 3387546   11186  3302271   295.2 |  8.605 % |
|     17112 | 3918310  9829398 | 3726301   16866  5203023   308.5 |  8.605 % |
|     25761 | 3918362  9829380 | 4098931   25447  8188240   321.8 |  8.606 % |
|     38735 | 3888352  9783514 | 4508825   37862 11841479   312.8 |  9.430 % |
|     58197 | 3887233  9782059 | 4959707   57151 22087511   386.5 |  9.482 % |
|     87390 | 3886189  9780547 | 5455678   86019 47692358   554.4 |  9.493 % |
|    131180 | 3886282  9780466 | 6001246  129545 78964782   609.6 |  9.498 % |
|    196868 | 3886097  9779854 | 6601370  194981 133228912   683.3 |  9.507 % |
|    295394 | 3886300  9779809 | 7261507  293231 202911560   692.0 |  9.512 % |
|    443183 | 3886167  9778696 | 7987658  440291 315737635   717.1 |  9.524 % |
|    664870 | 3886162  9778297 | 8786424  661569 494068237   746.8 |  9.531 % |
|    997401 | 3885993  9777655 | 9665066  993674 770740681   775.6 |  9.545 % |
