Reading from standard input... Use '-h' or '--help' for help.
==================================[MINISAT]===================================
| Conflicts |     ORIGINAL     |              LEARNT              | Progress |
|           | Clauses Literals |   Limit Clauses Literals  Lit/Cl |          |
==============================================================================
|         0 | 3918543  9829569 | 1306181       0        0     nan |  0.000 % |
|       109 | 3918544  9829569 | 1436799     108    28583   264.7 |  8.597 % |
|       260 | 3918551  9829569 | 1580479     251    43608   173.7 |  8.597 % |
|       486 | 3918552  9829569 | 1738526     476   115347   242.3 |  8.597 % |
|       823 | 3918557  9829569 | 1912379     808   195494   241.9 |  8.597 % |
|      1329 | 3918562  9829569 | 2103617    1309   479712   366.5 |  8.597 % |
|      2090 | 3918563  9829569 | 2313979    2069   717067   346.6 |  8.597 % |
|      3230 | 3918588  9829569 | 2545377    3184  1727218   542.5 |  8.597 % |
|      4941 | 3918605  9829560 | 2799914    4869  2608228   535.7 |  8.597 % |
|      7503 | 3918640  9829560 | 3079906    7395  3779102   511.0 |  8.597 % |
|     11347 | 3918683  9829533 | 3387897   11172  5448895   487.7 |  8.597 % |
|     17113 | 3918594  9829419 | 3726686   16908  7423931   439.1 |  8.599 % |
|     25762 | 3918660  9829410 | 4099355   25472 12740641   500.2 |  8.600 % |
|     38738 | 3918739  9829374 | 4509291   38333 20225063   527.6 |  8.600 % |
|     58201 | 3918843  9829311 | 4960220   57621 35817989   621.6 |  8.601 % |
|     87394 | 3918896  9829257 | 5456242   86709 64073015   738.9 |  8.602 % |
|    131183 | 3891775  9786592 | 6001866  130181 86187640   662.1 |  9.318 % |
|    196868 | 3891882  9786547 | 6602053  195700 136035467   695.1 |  9.323 % |
|    295397 | 3891867  9786217 | 7262258  293900 203961541   694.0 |  9.324 % |
|    443190 | 3891946  9785782 | 7988484  441159 317738851   720.2 |  9.333 % |
|    664873 | 3892174  9785668 | 8787332  662446 487476251   735.9 |  9.373 % |
|    997401 | 3890403  9782800 | 9666065  994244 769806660   774.3 |  9.395 % |
