Reading from standard input... Use '-h' or '--help' for help.
==================================[MINISAT]===================================
| Conflicts |     ORIGINAL     |              LEARNT              | Progress |
|           | Clauses Literals |   Limit Clauses Literals  Lit/Cl |          |
==============================================================================
|         0 | 3917614  9829413 | 1305871       0        0     nan |  0.000 % |
|       109 | 3917615  9829413 | 1436458     108    28583   264.7 |  8.616 % |
|       260 | 3917622  9829413 | 1580103     251    43608   173.7 |  8.617 % |
|       487 | 3917643  9829413 | 1738114     456    73511   161.2 |  8.617 % |
|       824 | 3917649  9829413 | 1911925     787   196541   249.7 |  8.617 % |
|      1330 | 3917655  9829413 | 2103118    1287   566368   440.1 |  8.617 % |
|      2089 | 3917661  9829413 | 2313430    2039   878614   430.9 |  8.617 % |
|      3230 | 3917622  9829308 | 2544773    3160  1361129   430.7 |  8.617 % |
|      4938 | 3917662  9829308 | 2799250    4827  3743874   775.6 |  8.617 % |
|      7504 | 3917665  9829281 | 3079175    7367  5124804   695.6 |  8.618 % |
|     11371 | 3917709  9829281 | 3387093   11185  7524154   672.7 |  8.618 % |
|     17138 | 3917719  9829236 | 3725802   16890 17638691  1044.3 |  8.619 % |
|     25788 | 3917777  9829209 | 4098382   25455 23336954   916.8 |  8.619 % |
|     38762 | 3917918  9829209 | 4508220   38284 27769998   725.4 |  8.619 % |
|     58223 | 3917916  9829173 | 4959042   57719 32123874   556.6 |  8.619 % |
|     87415 | 3917996  9829128 | 5454947   86774 61349745   707.0 |  8.621 % |
|    131204 | 3918061  9829038 | 6000441  130409 93674014   718.3 |  8.622 % |
|    196888 | 3918161  9828984 | 6600486  195912 141566766   722.6 |  8.623 % |
|    295415 | 3918108  9828624 | 7260534  294125 217143675   738.3 |  8.628 % |
|    443205 | 3918198  9828465 | 7986588  441623 336866000   762.8 |  8.631 % |
|    664889 | 3880037  9772256 | 8785247  662801 514613842   776.4 |  9.705 % |
|    997421 | 3880134  9771914 | 9663771  994982 784459247   788.4 |  9.708 % |
