Reading from standard input... Use '-h' or '--help' for help.
==================================[MINISAT]===================================
| Conflicts |     ORIGINAL     |              LEARNT              | Progress |
|           | Clauses Literals |   Limit Clauses Literals  Lit/Cl |          |
==============================================================================
|         0 | 3918037  9829457 | 1306012       0        0     nan |  0.000 % |
|       109 | 3918038  9829457 | 1436613     108    28583   264.7 |  8.607 % |
|       260 | 3918045  9829457 | 1580274     251    43608   173.7 |  8.607 % |
|       487 | 3918048  9829457 | 1738301     474   190813   402.6 |  8.607 % |
|       824 | 3918049  9829457 | 1912132     810   291414   359.8 |  8.607 % |
|      1331 | 3918051  9829457 | 2103345    1315   773149   587.9 |  8.607 % |
|      2092 | 3918062  9829457 | 2313679    2065   937908   454.2 |  8.607 % |
|      3238 | 3918036  9829370 | 2545047    3194  1219428   381.8 |  8.608 % |
|      4947 | 3918058  9829370 | 2799552    4875  1791646   367.5 |  8.608 % |
|      7510 | 3918018  9829310 | 3079507    7417  3957119   533.5 |  8.608 % |
|     11354 | 3918154  9829310 | 3387458   11124  7811953   702.3 |  8.610 % |
|     17123 | 3918153  9829220 | 3726204   16787 10940538   651.7 |  9.443 % |
|     25772 | 3887759  9782811 | 4098825   24805 13940670   562.0 |  9.444 % |
|     38746 | 3887797  9782730 | 4508707   37666 22364375   593.8 |  9.445 % |
|     58207 | 3887918  9782730 | 4959578   57005 39492787   692.8 |  9.446 % |
|     87400 | 3887841  9782577 | 5455536   86073 65691418   763.2 |  9.449 % |
|    131191 | 3887974  9782514 | 6001089  129670 98848850   762.3 |  9.487 % |
|    196875 | 3886870  9780991 | 6601198  195082 149989830   768.9 |  9.493 % |
|    295404 | 3886532  9780328 | 7261318  293313 225494240   768.8 |  9.499 % |
|    443194 | 3885077  9777951 | 7987450  440340 337492768   766.4 |  9.539 % |
|    664878 | 3884771  9777249 | 8786195  661525 512459153   774.7 |  9.563 % |
|    997404 | 3881689  9773179 | 9664815  993368 800667775   806.0 |  9.636 % |
