Reading from standard input... Use '-h' or '--help' for help.
==================================[MINISAT]===================================
| Conflicts |     ORIGINAL     |              LEARNT              | Progress |
|           | Clauses Literals |   Limit Clauses Literals  Lit/Cl |          |
==============================================================================
|         0 | 3918041  9829446 | 1306013       0        0     nan |  0.000 % |
|       109 | 3918042  9829446 | 1436614     108    28583   264.7 |  8.606 % |
|       260 | 3918049  9829446 | 1580275     251    43608   173.7 |  8.606 % |
|       487 | 3918052  9829446 | 1738303     474   185169   390.7 |  8.607 % |
|       824 | 3918062  9829446 | 1912133     800   362164   452.7 |  8.607 % |
|      1331 | 3918064  9829446 | 2103346    1305   516942   396.1 |  8.607 % |
|      2090 | 3918073  9829446 | 2313681    2055   881353   428.9 |  8.607 % |
|      3229 | 3918038  9829344 | 2545049    3172  1068430   336.8 |  8.607 % |
|      4937 | 3918089  9829344 | 2799554    4827  1594333   330.3 |  8.608 % |
|      7500 | 3918125  9829344 | 3079510    7354  2954584   401.8 |  8.608 % |
|     11345 | 3918078  9829260 | 3387461   11154  4310550   386.5 |  8.608 % |
|     17121 | 3918134  9829260 | 3726207   16867  7994658   474.0 |  8.609 % |
|     25770 | 3918168  9829224 | 4098828   25445 13418763   527.4 |  8.609 % |
|     38745 | 3918228  9829224 | 4508711   38360 21301899   555.3 |  8.609 % |
|     58209 | 3918322  9829161 | 4959582   57665 32926215   571.0 |  8.612 % |
|     87403 | 3918295  9828978 | 5455540   86695 78464085   905.1 |  8.613 % |
|    131192 | 3918423  9828897 | 6001094  130266 116753946   896.3 |  8.614 % |
|    196877 | 3918540  9828852 | 6601203  195779 171671976   876.9 |  8.615 % |
|    295404 | 3918331  9828303 | 7261324  293917 245403137   834.9 |  8.623 % |
|    443199 | 3918585  9828267 | 7987456  441404 341642122   774.0 |  8.624 % |
|    664885 | 3918839  9828177 | 8786202  662693 529667877   799.3 |  8.626 % |
|    997411 | 3919030  9828072 | 9664822  994838 825387366   829.7 |  8.628 % |
