Reading from standard input... Use '-h' or '--help' for help.
==================================[MINISAT]===================================
| Conflicts |     ORIGINAL     |              LEARNT              | Progress |
|           | Clauses Literals |   Limit Clauses Literals  Lit/Cl |          |
==============================================================================
|         0 | 3916488  9826227 | 1305496       0        0     nan |  0.000 % |
|       109 | 3916489  9826227 | 1436045     108    28583   264.7 |  8.666 % |
|       259 | 3916495  9826227 | 1579650     251    35385   141.0 |  8.666 % |
|       485 | 3916499  9826227 | 1737615     473    89597   189.4 |  8.666 % |
|       822 | 3916509  9826227 | 1911376     800   263770   329.7 |  8.666 % |
|      1328 | 3916525  9826227 | 2102514    1289   432636   335.6 |  8.666 % |
|      2088 | 3916530  9826227 | 2312765    2044   789285   386.1 |  8.666 % |
|      3227 | 3916540  9826227 | 2544042    3173  1385092   436.5 |  8.666 % |
|      4935 | 3916541  9826209 | 2798446    4864  2136688   439.3 |  8.666 % |
|      7499 | 3916569  9826209 | 3078291    7400  3530077   477.0 |  8.666 % |
|     11343 | 3916610  9826191 | 3386120   11187  6738371   602.3 |  8.667 % |
|     17119 | 3916644  9826173 | 3724732   16911 10892197   644.1 |  8.667 % |
|     25769 | 3916726  9826137 | 4097205   25438 15081003   592.9 |  8.670 % |
|     38746 | 3916590  9825933 | 4506926   38319 23714058   618.9 |  8.671 % |
|     58210 | 3916675  9825897 | 4957618   57655 36633665   635.4 |  8.671 % |
|     87402 | 3916802  9825870 | 5453380   86675 56095461   647.2 |  8.672 % |
|    131191 | 3916869  9825807 | 5998718  130324 84991848   652.2 |  8.673 % |
|    196875 | 3917140  9825780 | 6598590  195704 124299788   635.1 |  8.673 % |
|    295403 | 3917283  9825699 | 7258449  293982 198157908   674.0 |  8.679 % |
|    443193 | 3917115  9825288 | 7984294  441532 320568086   726.0 |  8.682 % |
|    664877 | 3917252  9825126 | 8782724  662852 516205291   778.8 |  8.684 % |
|    997402 | 3917566  9825090 | 9660996  994968 823343167   827.5 |  8.687 % |
