Reading from standard input... Use '-h' or '--help' for help.
==================================[MINISAT]===================================
| Conflicts |     ORIGINAL     |              LEARNT              | Progress |
|           | Clauses Literals |   Limit Clauses Literals  Lit/Cl |          |
==============================================================================
|         0 | 3917659  9828386 | 1305886       0        0     nan |  0.000 % |
|       109 | 3917660  9828386 | 1436474     108    28583   264.7 |  8.620 % |
|       259 | 3917664  9828386 | 1580122     253    54741   216.4 |  8.620 % |
|       485 | 3917669  9828386 | 1738134     474   102594   216.4 |  8.620 % |
|       822 | 3917675  9828386 | 1911947     804   244308   303.9 |  8.620 % |
|      1328 | 3917682  9828386 | 2103142    1302   346102   265.8 |  8.621 % |
|      2091 | 3917693  9828386 | 2313456    2054   631149   307.3 |  8.621 % |
|      3232 | 3917582  9828251 | 2544802    3163   960475   303.7 |  8.622 % |
|      4943 | 3917592  9828251 | 2799282    4862  1955961   402.3 |  8.622 % |
|      7506 | 3917610  9828233 | 3079210    7389  3068152   415.2 |  8.622 % |
|     11351 | 3917665  9828233 | 3387131   11178  4548163   406.9 |  8.622 % |
|     17117 | 3917716  9828215 | 3725845   16878  8345230   494.4 |  8.622 % |
|     25767 | 3917773  9828179 | 4098429   25432 14762715   580.5 |  8.623 % |
|     38741 | 3917615  9827855 | 4508272   38243 24521904   641.2 |  8.627 % |
|     58202 | 3917764  9827855 | 4959099   57548 35128055   610.4 |  8.628 % |
|     87395 | 3917872  9827774 | 5455009   86527 58613899   677.4 |  8.629 % |
|    131184 | 3918017  9827606 | 6000510  129991 89417834   687.9 |  8.632 % |
|    196868 | 3918095  9827543 | 6600561  195506 142330446   728.0 |  8.633 % |
|    295394 | 3918426  9827462 | 7260618  293602 211816551   721.4 |  8.635 % |
|    443184 | 3918638  9827408 | 7986679  441084 329762104   747.6 |  8.636 % |
|    664867 | 3918839  9827300 | 8785347  662397 511882769   772.8 |  8.639 % |
|    997393 | 3889701  9782297 | 9663882  993613 813373448   818.6 |  9.410 % |
