Reading from standard input... Use '-h' or '--help' for help.
==================================[MINISAT]===================================
| Conflicts |     ORIGINAL     |              LEARNT              | Progress |
|           | Clauses Literals |   Limit Clauses Literals  Lit/Cl |          |
==============================================================================
|         0 | 3913508  9822720 | 1304502       0        0     nan |  0.000 % |
|       109 | 3913509  9822720 | 1434952     108    28583   264.7 |  8.733 % |
|       259 | 3913522  9822720 | 1578447     243    37844   155.7 |  8.734 % |
|       484 | 3913526  9822720 | 1736292     464    75712   163.2 |  8.734 % |
|       822 | 3913532  9822720 | 1909921     796   226096   284.0 |  8.734 % |
|      1329 | 3913538  9822720 | 2100913    1296   341785   263.7 |  8.734 % |
|      2089 | 3913553  9822720 | 2311004    2039   601030   294.8 |  8.734 % |
|      3228 | 3913559  9822720 | 2542105    3172   713193   224.8 |  8.734 % |
|      4937 | 3913543  9822684 | 2796315    4864  1813001   372.7 |  8.734 % |
|      7499 | 3913562  9822666 | 3075947    7386  3398718   460.2 |  8.735 % |
|     11343 | 3913599  9822666 | 3383542   11192  5261991   470.2 |  8.735 % |
|     17112 | 3913664  9822612 | 3721896   16840  8853174   525.7 |  8.735 % |
|     25761 | 3913676  9822540 | 4094086   25406 14933010   587.8 |  8.737 % |
|     38735 | 3913731  9822486 | 4503494   38276 26197597   684.4 |  8.737 % |
|     58196 | 3913787  9822441 | 4953844   57635 42614493   739.4 |  8.738 % |
|     87389 | 3913960  9822423 | 5449228   86623 69098741   797.7 |  8.738 % |
|    131180 | 3914030  9822360 | 5994151  130272 108980721   836.6 |  8.739 % |
|    196865 | 3914246  9822342 | 6593566  195715 157548829   805.0 |  8.740 % |
|    295391 | 3914374  9822252 | 7252923  293985 243061235   826.8 |  8.746 % |
|    443180 | 3914265  9821838 | 7978215  441464 360409114   816.4 |  8.748 % |
|    664863 | 3914513  9821748 | 8776037  662765 539296597   813.7 |  8.750 % |
|    997389 | 3914682  9821676 | 9653640  994999 835918198   840.1 |  8.752 % |
