Reading from standard input... Use '-h' or '--help' for help.
==================================[MINISAT]===================================
| Conflicts |     ORIGINAL     |              LEARNT              | Progress |
|           | Clauses Literals |   Limit Clauses Literals  Lit/Cl |          |
==============================================================================
|         0 | 3917305  9828399 | 1305768       0        0     nan |  0.000 % |
|       109 | 3917306  9828399 | 1436344     108    28583   264.7 |  8.627 % |
|       259 | 3917310  9828399 | 1579979     253    54741   216.4 |  8.627 % |
|       488 | 3917312  9828399 | 1737977     479   119043   248.5 |  8.627 % |
|       828 | 3917314  9828399 | 1911774     817   195368   239.1 |  8.627 % |
|      1336 | 3917317  9828399 | 2102952    1322   377066   285.2 |  8.627 % |
|      2107 | 3917325  9828399 | 2313247    2085   745035   357.3 |  8.627 % |
|      3251 | 3917333  9828399 | 2544572    3221  2014605   625.5 |  8.627 % |
|      4959 | 3917338  9828381 | 2799029    4909  2384997   485.8 |  8.628 % |
|      7522 | 3917364  9828381 | 3078932    7443  3844622   516.5 |  8.628 % |
|     11370 | 3917391  9828354 | 3386825   11233  6558105   583.8 |  8.629 % |
|     17138 | 3917403  9828282 | 3725508   16924  9639988   569.6 |  8.629 % |
|     25787 | 3917468  9828282 | 4098059   25503 13699611   537.2 |  8.629 % |
|     38761 | 3917597  9828273 | 4507865   38339 35364759   922.4 |  8.629 % |
|     58225 | 3917780  9828255 | 4958651   57603 60457517  1049.6 |  8.630 % |
|     87417 | 3917956  9828228 | 5454516   86593 80370115   928.1 |  8.630 % |
|    131207 | 3918167  9828165 | 5999968  130079 113627458   873.5 |  8.631 % |
|    196891 | 3918364  9828129 | 6599965  195515 169556461   867.2 |  8.632 % |
|    295420 | 3918478  9827985 | 7259962  293770 258496868   879.9 |  8.638 % |
|    443210 | 3918489  9827625 | 7985958  441137 370772563   840.5 |  8.642 % |
|    664893 | 3890039  9783447 | 8784554  661889 563453182   851.3 |  9.439 % |
|    997422 | 3890212  9783156 | 9663009  993919 848126618   853.3 |  9.446 % |
