Reading from standard input... Use '-h' or '--help' for help.
==================================[MINISAT]===================================
| Conflicts |     ORIGINAL     |              LEARNT              | Progress |
|           | Clauses Literals |   Limit Clauses Literals  Lit/Cl |          |
==============================================================================
|         0 | 3918196  9829548 | 1306065       0        0     nan |  0.000 % |
|       109 | 3918197  9829548 | 1436671     108    28583   264.7 |  8.604 % |
|       262 | 3918207  9829548 | 1580338     248    35024   141.2 |  8.604 % |
|       488 | 3918210  9829548 | 1738372     471    71134   151.0 |  8.604 % |
|       825 | 3918211  9829548 | 1912209     806   107288   133.1 |  8.604 % |
|      1332 | 3918221  9829548 | 2103430    1302   302689   232.5 |  8.604 % |
|      2091 | 3918238  9829548 | 2313773    2044   419923   205.4 |  8.604 % |
|      3231 | 3918247  9829548 | 2545151    3173   866293   273.0 |  8.604 % |
|      4939 | 3918224  9829494 | 2799666    4856  1521363   313.3 |  8.605 % |
|      7503 | 3918270  9829494 | 3079632    7373  2736332   371.1 |  8.605 % |
|     11354 | 3918277  9829476 | 3387596   11198  4487243   400.7 |  8.605 % |
|     17121 | 3918347  9829467 | 3726355   16881  7364334   436.2 |  8.605 % |
|     25770 | 3887869  9783000 | 4098991   24926  9722791   390.1 |  9.436 % |
|     38756 | 3884954  9779253 | 4508890   37657 18469660   490.5 |  9.505 % |
|     58217 | 3885018  9779235 | 4959779   57022 33403185   585.8 |  9.506 % |
|     87411 | 3885099  9779199 | 5455757   86095 61424218   713.4 |  9.506 % |
|    131200 | 3885234  9779181 | 6001333  129712 104042550   802.1 |  9.507 % |
|    196885 | 3885328  9779127 | 6601466  195236 152360451   780.4 |  9.510 % |
|    295412 | 3885436  9779016 | 7261613  293433 220583967   751.7 |  9.523 % |
|    443201 | 3884687  9777702 | 7987774  440846 336258212   762.8 |  9.544 % |
|    664885 | 3884016  9776325 | 8786552  661976 510940721   771.8 |  9.570 % |
|    997413 | 3883055  9774525 | 9665207  993708 795657335   800.7 |  9.596 % |
