Reading from standard input... Use '-h' or '--help' for help.
==================================[MINISAT]===================================
| Conflicts |     ORIGINAL     |              LEARNT              | Progress |
|           | Clauses Literals |   Limit Clauses Literals  Lit/Cl |          |
==============================================================================
|         0 | 3915787  9825611 | 1305262       0        0     nan |  0.000 % |
|       109 | 3915788  9825611 | 1435788     108    28583   264.7 |  8.670 % |
|       260 | 3915792  9825611 | 1579367     254    56295   221.6 |  8.670 % |
|       485 | 3915794  9825611 | 1737303     477    82484   172.9 |  8.670 % |
|       823 | 3915798  9825611 | 1911034     810   142519   175.9 |  8.670 % |
|      1331 | 3915799  9825611 | 2102137    1316   210497   160.0 |  8.670 % |
|      2090 | 3915806  9825611 | 2312351    2067   526425   254.7 |  8.670 % |
|      3230 | 3915840  9825611 | 2543586    3173   749023   236.1 |  8.670 % |
|      4938 | 3915828  9825584 | 2797945    4868  1485788   305.2 |  8.670 % |
|      7501 | 3915867  9825584 | 3077739    7384  2951637   399.7 |  8.670 % |
|     11345 | 3915891  9825557 | 3385513   11176  5391176   482.4 |  8.671 % |
|     17115 | 3915899  9825539 | 3724064   16918 12973220   766.8 |  8.671 % |
|     25764 | 3916024  9825539 | 4096471   25442 20183591   793.3 |  8.671 % |
|     38760 | 3916041  9825512 | 4506118   38382 28007335   729.7 |  8.671 % |
|     58221 | 3916217  9825458 | 4956730   57605 40202854   697.9 |  8.673 % |
|     87417 | 3916339  9825458 | 5452403   86679 53488055   617.1 |  8.673 % |
|    131206 | 3916378  9825368 | 5997643  130338 80582957   618.3 |  8.674 % |
|    196890 | 3916695  9825332 | 6597407  195653 126848185   648.3 |  8.675 % |
|    295419 | 3916877  9825332 | 7257148  293968 216917145   737.9 |  8.676 % |
|    443213 | 3916781  9824915 | 7982863  441410 329271551   746.0 |  8.682 % |
|    664898 | 3916988  9824789 | 8781150  662706 503749562   760.1 |  8.684 % |
|    997423 | 3917228  9824690 | 9659265  994864 766453945   770.4 |  8.687 % |
