Reading from standard input... Use '-h' or '--help' for help.
==================================[MINISAT]===================================
| Conflicts |     ORIGINAL     |              LEARNT              | Progress |
|           | Clauses Literals |   Limit Clauses Literals  Lit/Cl |          |
==============================================================================
|         0 | 3915861  9825349 | 1305287       0        0     nan |  0.000 % |
|       109 | 3915862  9825349 | 1435815     108    28583   264.7 |  8.668 % |
|       259 | 3915868  9825349 | 1579397     251    35385   141.0 |  8.668 % |
|       485 | 3915873  9825349 | 1737336     472    71825   152.2 |  8.668 % |
|       825 | 3915878  9825349 | 1911070     807   188467   233.5 |  8.668 % |
|      1333 | 3915886  9825349 | 2102177    1307   450622   344.8 |  8.668 % |
|      2092 | 3915893  9825349 | 2312395    2059   636497   309.1 |  8.668 % |
|      3232 | 3915928  9825349 | 2543635    3163   800864   253.2 |  8.668 % |
|      4942 | 3915936  9825340 | 2797998    4853  2224133   458.3 |  8.669 % |
|      7504 | 3915945  9825340 | 3077798    7406  2886128   389.7 |  8.669 % |
|     11353 | 3915977  9825331 | 3385578   11211  5481882   489.0 |  8.669 % |
|     17119 | 3916026  9825313 | 3724136   16913  9575711   566.2 |  8.669 % |
|     25770 | 3916071  9825241 | 4096549   25455 13950386   548.0 |  8.670 % |
|     38745 | 3916205  9825205 | 4506204   38260 19929727   520.9 |  8.671 % |
|     58207 | 3916155  9824965 | 4956825   57510 33027184   574.3 |  8.675 % |
|     87400 | 3916164  9824875 | 5452507   86614 60592892   699.6 |  8.675 % |
|    131189 | 3916273  9824857 | 5997758  130248 96436539   740.4 |  8.676 % |
|    196874 | 3916459  9824803 | 6597534  195671 145219711   742.2 |  8.678 % |
|    295401 | 3916638  9824758 | 7257287  293935 214068845   728.3 |  8.683 % |
|    443190 | 3916528  9824380 | 7983016  441411 326444464   739.5 |  8.685 % |
|    664875 | 3916605  9824218 | 8781318  662815 516792730   779.7 |  8.688 % |
|    997403 | 3916831  9824191 | 9659450  995018 803666514   807.7 |  8.690 % |
