Reading from standard input... Use '-h' or '--help' for help.
==================================[MINISAT]===================================
| Conflicts |     ORIGINAL     |              LEARNT              | Progress |
|           | Clauses Literals |   Limit Clauses Literals  Lit/Cl |          |
==============================================================================
|         0 | 3915786  9825604 | 1305262       0        0     nan |  0.000 % |
|       109 | 3915787  9825604 | 1435788     108    28583   264.7 |  8.669 % |
|       260 | 3915791  9825604 | 1579367     254    56295   221.6 |  8.669 % |
|       485 | 3915793  9825604 | 1737303     477    82484   172.9 |  8.669 % |
|       824 | 3915796  9825604 | 1911034     812   213308   262.7 |  8.669 % |
|      1330 | 3915809  9825604 | 2102137    1305   535429   410.3 |  8.669 % |
|      2091 | 3915826  9825604 | 2312351    2046   711468   347.7 |  8.670 % |
|      3230 | 3915795  9825559 | 2543586    3173  1174338   370.1 |  8.670 % |
|      4938 | 3915805  9825559 | 2797945    4867  1796825   369.2 |  8.670 % |
|      7500 | 3915869  9825559 | 3077739    7365  2539397   344.8 |  8.670 % |
|     11344 | 3915873  9825532 | 3385513   11181  3807394   340.5 |  8.670 % |
|     17110 | 3915656  9825250 | 3724064   16897  4890640   289.4 |  8.675 % |
|     25759 | 3915617  9825124 | 4096471   25452  8899903   349.7 |  8.676 % |
|     38738 | 3915693  9825079 | 4506118   38310 16812501   438.9 |  8.677 % |
|     58201 | 3915738  9825034 | 4956730   57678 30475285   528.4 |  8.678 % |
|     87394 | 3915798  9824920 | 5452403   86669 56902867   656.6 |  8.681 % |
|    131186 | 3915923  9824893 | 5997643  130298 90843041   697.2 |  8.682 % |
|    196873 | 3915994  9824821 | 6597407  195822 156759220   800.5 |  8.683 % |
|    295399 | 3916152  9824767 | 7257148  294091 240342975   817.2 |  8.684 % |
|    443188 | 3916429  9824668 | 7982863  441474 364120518   824.8 |  8.688 % |
|    664871 | 3916584  9824590 | 8781150  662857 557744253   841.4 |  8.691 % |
|    997396 | 3916736  9824491 | 9659265  995043 853285260   857.5 |  8.693 % |
