Reading from standard input... Use '-h' or '--help' for help.
==================================[MINISAT]===================================
| Conflicts |     ORIGINAL     |              LEARNT              | Progress |
|           | Clauses Literals |   Limit Clauses Literals  Lit/Cl |          |
==============================================================================
|         0 | 3917656  9828387 | 1305885       0        0     nan |  0.000 % |
|       109 | 3917657  9828387 | 1436473     108    28583   264.7 |  8.620 % |
|       260 | 3917661  9828387 | 1580120     254    56295   221.6 |  8.620 % |
|       485 | 3917663  9828387 | 1738132     477    82484   172.9 |  8.620 % |
|       823 | 3917666  9828387 | 1911946     812   183660   226.2 |  8.620 % |
|      1329 | 3917673  9828387 | 2103140    1311   281091   214.4 |  8.620 % |
|      2090 | 3917685  9828387 | 2313454    2060   487206   236.5 |  8.620 % |
|      3230 | 3917719  9828387 | 2544800    3166   699068   220.8 |  8.620 % |
|      4938 | 3917725  9828378 | 2799280    4860  1565102   322.0 |  8.620 % |
|      7501 | 3917762  9828378 | 3079208    7385  2809003   380.4 |  8.621 % |
|     11345 | 3917823  9828360 | 3387129   11153  3941746   353.4 |  8.621 % |
|     17114 | 3917843  9828360 | 3725842   16899  7525745   445.3 |  8.621 % |
|     25764 | 3917915  9828360 | 4098426   25477 11358037   445.8 |  8.621 % |
|     38738 | 3917942  9828360 | 4508269   38424 14286354   371.8 |  8.621 % |
|     58200 | 3892139  9788097 | 4959096   57328 18476556   322.3 |  9.313 % |
|     87392 | 3891240  9786792 | 5455005   86222 32234463   373.9 |  9.326 % |
|    131181 | 3891446  9786630 | 6000506  129641 61064805   471.0 |  9.328 % |
|    196871 | 3891638  9786549 | 6600556  195041 110693242   567.5 |  9.329 % |
|    295399 | 3891942  9786513 | 7260612  293208 187526868   639.6 |  9.332 % |
|    443188 | 3887423  9780391 | 7986673  438997 284256664   647.5 |  9.451 % |
|    664875 | 3885757  9777859 | 8785341  660052 454486426   688.6 |  9.494 % |
|    997405 | 3885567  9777205 | 9663875  992183 755440223   761.4 |  9.506 % |
