Reading from standard input... Use '-h' or '--help' for help.
==================================[MINISAT]===================================
| Conflicts |     ORIGINAL     |              LEARNT              | Progress |
|           | Clauses Literals |   Limit Clauses Literals  Lit/Cl |          |
==============================================================================
|         0 | 3915860  9825342 | 1305286       0        0     nan |  0.000 % |
|       109 | 3915861  9825342 | 1435814     108    28583   264.7 |  8.668 % |
|       259 | 3915867  9825342 | 1579396     251    35385   141.0 |  8.668 % |
|       485 | 3915872  9825342 | 1737335     472    71835   152.2 |  8.668 % |
|       823 | 3915881  9825342 | 1911069     801   214705   268.0 |  8.668 % |
|      1331 | 3915900  9825342 | 2102176    1289   440750   341.9 |  8.668 % |
|      2090 | 3915907  9825342 | 2312393    2040   686434   336.5 |  8.668 % |
|      3231 | 3915923  9825342 | 2543633    3165   992686   313.6 |  8.668 % |
|      4940 | 3915934  9825324 | 2797996    4846  1689191   348.6 |  8.668 % |
|      7502 | 3915955  9825324 | 3077796    7386  3248749   439.9 |  8.668 % |
|     11346 | 3916007  9825315 | 3385575   11170  5271216   471.9 |  9.249 % |
|     17112 | 3892416  9786715 | 3724133   16610  6631531   399.2 |  9.249 % |
|     25764 | 3892546  9786715 | 4096546   25124 13167609   524.1 |  9.249 % |
|     38738 | 3892587  9786688 | 4506201   38028 22801526   599.6 |  9.250 % |
|     58202 | 3892325  9785929 | 4956821   57242 35458850   619.5 |  9.264 % |
|     87394 | 3892466  9785875 | 5452503   86235 58414108   677.4 |  9.264 % |
|    131183 | 3892570  9785785 | 5997753  129826 87631219   675.0 |  9.266 % |
|    196868 | 3892729  9785731 | 6597529  195299 135788905   695.3 |  9.267 % |
|    295394 | 3892912  9785641 | 7257282  293520 220708496   751.9 |  9.272 % |
|    443183 | 3892759  9785125 | 7983010  440977 332093821   753.1 |  9.276 % |
|    664867 | 3892922  9785011 | 8781311  662300 522524231   789.0 |  9.280 % |
|    997393 | 3893108  9784957 | 9659442  994552 809543027   814.0 |  9.282 % |
