Reading from standard input... Use '-h' or '--help' for help.
==================================[MINISAT]===================================
| Conflicts |     ORIGINAL     |              LEARNT              | Progress |
|           | Clauses Literals |   Limit Clauses Literals  Lit/Cl |          |
==============================================================================
|         0 | 3913444  9822472 | 1304481       0        0     nan |  0.000 % |
|       109 | 3913445  9822472 | 1434929     108    28583   264.7 |  8.733 % |
|       262 | 3913449  9822472 | 1578422     256    58478   228.4 |  8.733 % |
|       502 | 3913455  9822472 | 1736264     489   115818   236.8 |  8.733 % |
|       839 | 3913456  9822472 | 1909890     825   235758   285.8 |  8.733 % |
|      1345 | 3913471  9822472 | 2100879    1316   349444   265.5 |  8.733 % |
|      2106 | 3913478  9822472 | 2310967    2070   592618   286.3 |  8.733 % |
|      3248 | 3913483  9822472 | 2542064    3205  1108964   346.0 |  8.734 % |
|      4959 | 3913503  9822472 | 2796270    4896  3134685   640.3 |  8.734 % |
|      7521 | 3913523  9822463 | 3075897    7417  4197086   565.9 |  8.734 % |
|     11365 | 3913527  9822400 | 3383487   11203  6321623   564.3 |  8.734 % |
|     17132 | 3913574  9822400 | 3721836   16921  7897941   466.8 |  8.735 % |
|     25783 | 3913661  9822400 | 4094020   25471 12035876   472.5 |  8.736 % |
|     38766 | 3913742  9822337 | 4503422   38316 20301279   529.8 |  8.736 % |
|     58230 | 3913819  9822262 | 4953764   57611 35180087   610.6 |  8.737 % |
|     87425 | 3913870  9822208 | 5449140   86686 59587508   687.4 |  8.738 % |
|    131216 | 3914096  9822172 | 5994054  130208 90614571   695.9 |  8.739 % |
|    196902 | 3914153  9822064 | 6593460  195703 148076576   756.6 |  8.741 % |
|    295436 | 3914082  9821644 | 7252806  293879 210855562   717.5 |  8.747 % |
|    443227 | 3914258  9821572 | 7978087  441386 323327039   732.5 |  8.749 % |
|    664918 | 3914506  9821464 | 8775895  662666 500667524   755.5 |  8.751 % |
|    997444 | 3914685  9821446 | 9653485  994961 813876603   818.0 |  8.752 % |
