Reading from standard input... Use '-h' or '--help' for help.
==================================[MINISAT]===================================
| Conflicts |     ORIGINAL     |              LEARNT              | Progress |
|           | Clauses Literals |   Limit Clauses Literals  Lit/Cl |          |
==============================================================================
|         0 | 3918043  9829453 | 1306014       0        0     nan |  0.000 % |
|       109 | 3918044  9829453 | 1436615     108    28583   264.7 |  8.607 % |
|       260 | 3918051  9829453 | 1580276     251    43608   173.7 |  8.607 % |
|       487 | 3918054  9829453 | 1738304     474   190911   402.8 |  8.607 % |
|       824 | 3918054  9829453 | 1912135     811   292821   361.1 |  8.607 % |
|      1350 | 3918056  9829453 | 2103348    1335   603240   451.9 |  8.607 % |
|      2109 | 3918081  9829453 | 2313683    2069   708283   342.3 |  8.607 % |
|      3248 | 3918101  9829453 | 2545051    3188  1533664   481.1 |  8.607 % |
|      4956 | 3918079  9829366 | 2799556    4876  2507638   514.3 |  8.607 % |
|      7518 | 3918104  9829366 | 3079512    7413  5481494   739.4 |  8.607 % |
|     11363 | 3918156  9829357 | 3387463   11193  8120858   725.5 |  8.607 % |
|     17131 | 3918187  9829312 | 3726210   16887 11312367   669.9 |  8.608 % |
|     25783 | 3918241  9829276 | 4098831   25453 19896489   781.7 |  8.609 % |
|     38757 | 3918266  9829249 | 4508714   38379 29051672   757.0 |  8.609 % |
|     58222 | 3918340  9829240 | 4959585   57756 52158427   903.1 |  8.609 % |
|     87414 | 3918377  9829204 | 5455544   86874 87205480  1003.8 |  8.609 % |
|    131203 | 3918522  9829204 | 6001099  130504 123814977   948.7 |  8.611 % |
|    196887 | 3918638  9829105 | 6601208  195973 168742846   861.1 |  8.612 % |
|    295416 | 3918722  9828997 | 7261329  294296 254269794   864.0 |  8.617 % |
|    443205 | 3919030  9828589 | 7987462  441375 354906254   804.1 |  9.580 % |
|    664888 | 3882823  9774654 | 8786209  662080 536457207   810.3 |  9.596 % |
|    997413 | 3882305  9773451 | 9664830  993892 815992417   821.0 |  9.611 % |
