Reading from standard input... Use '-h' or '--help' for help.
==================================[MINISAT]===================================
| Conflicts |     ORIGINAL     |              LEARNT              | Progress |
|           | Clauses Literals |   Limit Clauses Literals  Lit/Cl |          |
==============================================================================
|         0 | 3916979  9827857 | 1305659       0        0     nan |  0.000 % |
|       109 | 3916980  9827857 | 1436224     108    28583   264.7 |  8.637 % |
|       260 | 3916989  9827857 | 1579847     249    46256   185.8 |  8.637 % |
|       487 | 3916992  9827857 | 1737832     473   157251   332.5 |  8.637 % |
|       824 | 3916995  9827857 | 1911615     806   207633   257.6 |  8.637 % |
|      1333 | 3917005  9827857 | 2102776    1305   394223   302.1 |  8.637 % |
|      2093 | 3917021  9827857 | 2313054    2049   684618   334.1 |  8.637 % |
|      3236 | 3917030  9827857 | 2544360    3183  1533094   481.7 |  8.637 % |
|      4944 | 3917059  9827839 | 2798796    4848  2059843   424.9 |  8.637 % |
|      7507 | 3917202  9827830 | 3078675    7255  2573779   354.8 |  8.638 % |
|     11353 | 3917234  9827830 | 3386543   11068  3639183   328.8 |  8.638 % |
|     17119 | 3917274  9827815 | 3725197   16781  7724038   460.3 |  8.638 % |
|     25768 | 3890970  9786355 | 4097717   24540  8897522   362.6 |  9.374 % |
|     38743 | 3890023  9785161 | 4507488   37410 15997035   427.6 |  9.382 % |
|     58207 | 3890149  9785161 | 4958237   56746 26922640   474.4 |  9.387 % |
|     87401 | 3888848  9783507 | 5454061   85808 45054581   525.1 |  9.433 % |
|    131191 | 3888051  9782015 | 5999467  128907 72307431   560.9 |  9.438 % |
|    196875 | 3868497  9758091 | 6599414  182748 113786753   622.6 | 10.035 % |
|    295401 | 3849606  9733904 | 7259356  279136 133855040   479.5 | 10.436 % |
|    443191 | 3848888  9732839 | 7985291  425890 257394889   604.4 | 10.461 % |
|    664876 | 3848854  9732058 | 8783820  646003 425359658   658.4 | 10.512 % |
|    997401 | 3842407  9722747 | 9662202  975624 717020864   734.9 | 10.643 % |
