Reading from standard input... Use '-h' or '--help' for help.
==================================[MINISAT]===================================
| Conflicts |     ORIGINAL     |              LEARNT              | Progress |
|           | Clauses Literals |   Limit Clauses Literals  Lit/Cl |          |
==============================================================================
|         0 | 3918060  9828392 | 1306020       0        0     nan |  0.000 % |
|       109 | 3918061  9828392 | 1436622     108    28583   264.7 |  8.614 % |
|       260 | 3918077  9828392 | 1580284     242    53759   222.1 |  8.614 % |
|       496 | 3918079  9828392 | 1738312     476   205569   431.9 |  8.614 % |
|       834 | 3918081  9828392 | 1912143     812   302757   372.9 |  8.614 % |
|      1342 | 3918093  9828392 | 2103358    1308   450443   344.4 |  8.614 % |
|      2102 | 3918100  9828392 | 2313694    2061   582244   282.5 |  8.614 % |
|      3241 | 3918137  9828392 | 2545063    3163   887616   280.6 |  8.614 % |
|      4953 | 3918150  9828383 | 2799569    4850  1678047   346.0 |  8.615 % |
|      7516 | 3918199  9828383 | 3079526    7362  2873478   390.3 |  8.615 % |
|     11360 | 3918225  9828329 | 3387479   11132  5228873   469.7 |  8.615 % |
|     17126 | 3918236  9828320 | 3726227   16873 12052378   714.3 |  8.615 % |
|     25778 | 3918250  9828320 | 4098850   25511 13862781   543.4 |  8.615 % |
|     38752 | 3918378  9828314 | 4508735   38351 20977969   547.0 |  8.615 % |
|     58227 | 3918428  9828314 | 4959608   57776 35179595   608.9 |  8.615 % |
|     87419 | 3918237  9828032 | 5455569   86891 50905785   585.9 |  8.619 % |
|    131209 | 3918557  9828026 | 6001126  130350 73722041   565.6 |  9.205 % |
|    196893 | 3895489  9790793 | 6601239  195093 119072918   610.3 |  9.206 % |
|    295421 | 3895632  9790451 | 7261363  293069 167176409   570.4 |  9.212 % |
|    443210 | 3895904  9790316 | 7987499  440404 289105255   656.5 |  9.214 % |
|    664894 | 3895623  9789290 | 8786249  661401 460804721   696.7 |  9.249 % |
|    997426 | 3893742  9786467 | 9664874  993217 725513104   730.5 |  9.288 % |
