Reading from standard input... Use '-h' or '--help' for help.
==================================[MINISAT]===================================
| Conflicts |     ORIGINAL     |              LEARNT              | Progress |
|           | Clauses Literals |   Limit Clauses Literals  Lit/Cl |          |
==============================================================================
|         0 | 3916360  9826867 | 1305453       0        0     nan |  0.000 % |
|       109 | 3916361  9826867 | 1435998     108    28583   264.7 |  8.656 % |
|       261 | 3916368  9826867 | 1579598     252    46849   185.9 |  8.657 % |
|       487 | 3916368  9826867 | 1737557     478   133365   279.0 |  8.657 % |
|       826 | 3916368  9826867 | 1911313     817   198341   242.8 |  8.657 % |
|      1332 | 3916388  9826867 | 2102445    1303   241119   185.0 |  8.657 % |
|      2091 | 3916400  9826867 | 2312689    2047   475299   232.2 |  8.657 % |
|      3230 | 3916433  9826867 | 2543958    3153   963039   305.4 |  8.657 % |
|      4938 | 3916441  9826840 | 2798354    4828  1695803   351.2 |  8.657 % |
|      7500 | 3916454  9826840 | 3078189    7377  2847540   386.0 |  8.657 % |
|     11344 | 3916496  9826831 | 3386008   11171  3878122   347.2 |  8.657 % |
|     17115 | 3916265  9826510 | 3724609   16873  7834233   464.3 |  8.661 % |
|     25765 | 3916322  9826483 | 4097070   25437 12543766   493.1 |  8.662 % |
|     38740 | 3916424  9826465 | 4506777   38281 20579209   537.6 |  8.662 % |
|     58215 | 3916482  9826357 | 4957455   57599 34120305   592.4 |  8.664 % |
|     87416 | 3916566  9826330 | 5453201   86683 57614331   664.7 |  8.664 % |
|    131210 | 3916690  9826285 | 5998521  130296 91571718   702.8 |  8.665 % |
|    196895 | 3916763  9826036 | 6598373  195601 144594705   739.2 |  8.669 % |
|    295423 | 3917200  9826009 | 7258210  293660 205075841   698.3 |  9.296 % |
|    443212 | 3893050  9787062 | 7984031  440063 321426933   730.4 |  9.300 % |
|    664897 | 3893175  9786906 | 8782434  661403 494312252   747.4 |  9.303 % |
|    997422 | 3889745  9781948 | 9660678  992878 782179229   787.8 |  9.380 % |
