Reading from standard input... Use '-h' or '--help' for help.
==================================[MINISAT]===================================
| Conflicts |     ORIGINAL     |              LEARNT              | Progress |
|           | Clauses Literals |   Limit Clauses Literals  Lit/Cl |          |
==============================================================================
|         0 | 3917034  9827891 | 1305678       0        0     nan |  0.000 % |
|       109 | 3917035  9827891 | 1436245     108    28583   264.7 |  8.636 % |
|       260 | 3917039  9827891 | 1579870     254    56295   221.6 |  8.637 % |
|       485 | 3917041  9827891 | 1737857     477    82484   172.9 |  8.637 % |
|       823 | 3917042  9827891 | 1911643     814   236227   290.2 |  8.637 % |
|      1329 | 3917048  9827891 | 2102807    1314   329761   251.0 |  8.637 % |
|      2089 | 3917076  9827891 | 2313088    2046   496048   242.4 |  8.637 % |
|      3228 | 3917091  9827891 | 2544397    3170  1103902   348.2 |  8.637 % |
|      4936 | 3917091  9827882 | 2798836    4871  2181730   447.9 |  8.637 % |
|      7503 | 3917108  9827882 | 3078720    7417  5462112   736.4 |  8.637 % |
|     11347 | 3917133  9827882 | 3386592   11236  8788484   782.2 |  8.637 % |
|     17113 | 3917187  9827873 | 3725251   16940 12252225   723.3 |  8.637 % |
|     25774 | 3917270  9827855 | 4097776   25490 15951315   625.8 |  8.638 % |
|     38751 | 3917286  9827801 | 4507554   38402 24182886   629.7 |  8.638 % |
|     58212 | 3917357  9827747 | 4958310   57731 37780184   654.4 |  8.640 % |
|     87404 | 3917357  9827639 | 5454141   86813 62089887   715.2 |  8.640 % |
|    131195 | 3917520  9827576 | 5999555  130371 90396014   693.4 |  8.642 % |
|    196879 | 3917634  9827486 | 6599510  195840 143697924   733.8 |  8.643 % |
|    295405 | 3917835  9827441 | 7259461  294086 222684006   757.2 |  8.649 % |
|    443197 | 3917741  9826979 | 7985407  441481 333298675   755.0 |  8.652 % |
|    664880 | 3917942  9826907 | 8783948  662851 503149313   759.1 |  8.655 % |
|    997406 | 3918146  9826790 | 9662343  994989 791513252   795.5 |  8.657 % |
