Reading from standard input... Use '-h' or '--help' for help.
==================================[MINISAT]===================================
| Conflicts |     ORIGINAL     |              LEARNT              | Progress |
|           | Clauses Literals |   Limit Clauses Literals  Lit/Cl |          |
==============================================================================
|         0 | 3918539  9829573 | 1306179       0        0     nan |  0.000 % |
|       109 | 3918540  9829573 | 1436796     108    28583   264.7 |  8.597 % |
|       260 | 3918547  9829573 | 1580476     251    43608   173.7 |  8.597 % |
|       486 | 3918547  9829573 | 1738524     477   178883   375.0 |  8.597 % |
|       825 | 3918548  9829573 | 1912376     815   363856   446.4 |  8.597 % |
|      1333 | 3918551  9829573 | 2103614    1320   693607   525.5 |  8.597 % |
|      2092 | 3918556  9829573 | 2313975    2073  1008796   486.6 |  8.597 % |
|      3232 | 3918570  9829573 | 2545373    3199  1537733   480.7 |  8.597 % |
|      4941 | 3918579  9829555 | 2799910    4881  2037113   417.4 |  8.598 % |
|      7504 | 3918600  9829555 | 3079901    7423  2898120   390.4 |  8.598 % |
|     11348 | 3918609  9829528 | 3387891   11233  4096046   364.6 |  8.598 % |
|     17117 | 3918634  9829510 | 3726681   16962  6589747   388.5 |  8.598 % |
|     25767 | 3918482  9829234 | 4099349   25500 12231403   479.7 |  8.604 % |
|     38742 | 3918514  9829111 | 4509284   38277 20074355   524.4 |  8.605 % |
|     58203 | 3918656  9829093 | 4960212   57554 28402575   493.5 |  9.333 % |
|     87395 | 3891005  9785858 | 5456233   86394 59117001   684.3 |  9.333 % |
|    131184 | 3890452  9784838 | 6001857  129929 84545318   650.7 |  9.398 % |
|    196869 | 3888210  9781697 | 6602042  194988 126017301   646.3 |  9.435 % |
|    295395 | 3871311  9757326 | 7262247  290105 199137076   686.4 |  9.818 % |
|    443190 | 3871372  9756960 | 7988471  437461 315830758   722.0 |  9.828 % |
|    664874 | 3871517  9756798 | 8787319  658814 495686005   752.4 |  9.830 % |
|    997400 | 3871355  9755727 | 9666051  990460 756820233   764.1 | 10.403 % |
