Reading from standard input... Use '-h' or '--help' for help.
==================================[MINISAT]===================================
| Conflicts |     ORIGINAL     |              LEARNT              | Progress |
|           | Clauses Literals |   Limit Clauses Literals  Lit/Cl |          |
==============================================================================
|         0 | 3918538  9829566 | 1306179       0        0     nan |  0.000 % |
|       109 | 3918539  9829566 | 1436796     108    28583   264.7 |  8.597 % |
|       260 | 3918546  9829566 | 1580476     251    43608   173.7 |  8.597 % |
|       486 | 3918549  9829566 | 1738524     474   111152   234.5 |  8.597 % |
|       823 | 3918555  9829566 | 1912376     805   299798   372.4 |  8.597 % |
|      1329 | 3918562  9829566 | 2103614    1302   492060   377.9 |  8.597 % |
|      2089 | 3918572  9829566 | 2313975    2051   687094   335.0 |  8.597 % |
|      3235 | 3918549  9829539 | 2545373    3196  1086783   340.0 |  8.597 % |
|      4944 | 3918571  9829539 | 2799910    4883  1729610   354.2 |  8.597 % |
|      7508 | 3918597  9829539 | 3079901    7420  2562399   345.3 |  8.597 % |
|     11353 | 3918651  9829539 | 3387891   11208  3784631   337.7 |  8.597 % |
|     17119 | 3918697  9829539 | 3726681   16928  6599047   389.8 |  8.597 % |
|     25771 | 3918735  9829539 | 4099349   25542 21619546   846.4 |  8.597 % |
|     38745 | 3918818  9829533 | 4509284   38422 28197726   733.9 |  9.326 % |
|     58212 | 3890942  9786059 | 4960212   57557 41146983   714.9 |  9.330 % |
|     87406 | 3891054  9786023 | 5456233   86573 68858439   795.4 |  9.331 % |
|    131197 | 3891008  9785672 | 6001857  130154 125236365   962.2 |  9.334 % |
|    196881 | 3891096  9785489 | 6602042  195579 179275532   916.6 |  9.338 % |
|    295408 | 3891329  9785408 | 7262247  293767 258383393   879.6 |  9.339 % |
|    443199 | 3891221  9784970 | 7988471  441279 374837470   849.4 |  9.347 % |
|    664883 | 3891370  9784835 | 8787319  662610 556273157   839.5 |  9.350 % |
|    997408 | 3891109  9784028 | 9666051  994636 824883757   829.3 |  9.380 % |
