Reading from standard input... Use '-h' or '--help' for help.
==================================[MINISAT]===================================
| Conflicts |     ORIGINAL     |              LEARNT              | Progress |
|           | Clauses Literals |   Limit Clauses Literals  Lit/Cl |          |
==============================================================================
|         0 | 3918064  9828398 | 1306021       0        0     nan |  0.000 % |
|       109 | 3918065  9828398 | 1436623     108    28583   264.7 |  8.614 % |
|       273 | 3918069  9828398 | 1580285     267    83035   311.0 |  8.614 % |
|       498 | 3918074  9828398 | 1738313     487   126066   258.9 |  8.614 % |
|       836 | 3918077  9828398 | 1912145     822   290056   352.9 |  8.614 % |
|      1342 | 3918086  9828398 | 2103359    1318   443998   336.9 |  8.614 % |
|      2113 | 3918090  9828398 | 2313695    2082   855866   411.1 |  8.614 % |
|      3252 | 3918107  9828398 | 2545065    3203  1183696   369.6 |  8.614 % |
|      4960 | 3918091  9828353 | 2799572    4888  1788481   365.9 |  8.614 % |
|      7523 | 3918106  9828353 | 3079529    7436  2401496   323.0 |  8.614 % |
|     11367 | 3918189  9828344 | 3387482   11164  4053910   363.1 |  9.206 % |
|     17133 | 3918212  9828344 | 3726230   16905  5999637   354.9 |  9.208 % |
|     25782 | 3894374  9790721 | 4098853   25450 10232325   402.1 |  9.216 % |
|     38758 | 3894536  9790715 | 4508738   38256 14581868   381.2 |  9.218 % |
|     58219 | 3894331  9790334 | 4959612   57637 25337465   439.6 |  9.234 % |
|     87412 | 3891839  9786871 | 5455573   85924 39074309   454.8 |  9.275 % |
|    131202 | 3891919  9786628 | 6001131  129382 77816383   601.4 |  9.277 % |
|    196887 | 3869131  9757607 | 6601244  183261 109016413   594.9 |  9.970 % |
|    295413 | 3865652  9754733 | 7261368  281313 198164385   704.4 | 10.030 % |
|    443204 | 3865854  9754607 | 7987505  428611 306966172   716.2 | 10.040 % |
|    664887 | 3860595  9748198 | 8786256  649134 479177564   738.2 | 10.186 % |
|    997413 | 3854256  9740153 | 9664881  978851 754209579   770.5 | 10.303 % |
