Reading from standard input... Use '-h' or '--help' for help.
==================================[MINISAT]===================================
| Conflicts |     ORIGINAL     |              LEARNT              | Progress |
|           | Clauses Literals |   Limit Clauses Literals  Lit/Cl |          |
==============================================================================
|         0 | 3916354  9826545 | 1305451       0        0     nan |  0.000 % |
|       109 | 3916355  9826545 | 1435996     108    28583   264.7 |  8.656 % |
|       259 | 3916361  9826545 | 1579595     251    35451   141.2 |  8.656 % |
|       484 | 3916364  9826545 | 1737555     472    99388   210.6 |  8.656 % |
|       821 | 3916367  9826545 | 1911310     806   206063   255.7 |  8.656 % |
|      1327 | 3916373  9826545 | 2102441    1306   776371   594.5 |  8.656 % |
|      2087 | 3916383  9826545 | 2312686    2056  1045037   508.3 |  8.656 % |
|      3236 | 3916380  9826527 | 2543954    3189  2037911   639.0 |  8.656 % |
|      4949 | 3916396  9826527 | 2798350    4885  2611623   534.6 |  8.657 % |
|      7512 | 3916443  9826527 | 3078185    7398  3325707   449.5 |  8.657 % |
|     11357 | 3916445  9826491 | 3386003   11208  5175532   461.8 |  8.657 % |
|     17155 | 3916477  9826455 | 3724604   16944  8632321   509.5 |  8.657 % |
|     25805 | 3916549  9826428 | 4097064   25489 13683277   536.8 |  8.658 % |
|     38782 | 3916627  9826428 | 4506770   38388 23586219   614.4 |  8.658 % |
|     58243 | 3916686  9826365 | 4957448   57716 36065125   624.9 |  8.659 % |
|     87436 | 3916833  9826329 | 5453192   86725 58023525   669.1 |  8.660 % |
|    131225 | 3916916  9826293 | 5998512  130391 88600339   679.5 |  8.661 % |
|    196910 | 3917081  9826227 | 6598363  195825 135756281   693.3 |  8.662 % |
|    295443 | 3916973  9825864 | 7258199  294076 206583403   702.5 |  8.668 % |
|    443236 | 3917119  9825765 | 7984019  441598 321263332   727.5 |  8.670 % |
|    664920 | 3917593  9825765 | 8782421  662801 442122684   667.1 |  8.671 % |
|    997445 | 3917738  9825357 | 9660663  994699 707012982   710.8 |  8.677 % |
