Reading from standard input... Use '-h' or '--help' for help.
==================================[MINISAT]===================================
| Conflicts |     ORIGINAL     |              LEARNT              | Progress |
|           | Clauses Literals |   Limit Clauses Literals  Lit/Cl |          |
==============================================================================
|         0 | 3915786  9825610 | 1305262       0        0     nan |  0.000 % |
|       109 | 3915787  9825610 | 1435788     108    28583   264.7 |  8.670 % |
|       260 | 3915791  9825610 | 1579367     254    56295   221.6 |  8.670 % |
|       485 | 3915793  9825610 | 1737303     477    82484   172.9 |  8.670 % |
|       822 | 3915797  9825610 | 1911034     809   206967   255.8 |  8.670 % |
|      1329 | 3915803  9825610 | 2102137    1309   320958   245.2 |  8.670 % |
|      2088 | 3915809  9825610 | 2312351    2062   789180   382.7 |  8.670 % |
|      3227 | 3915815  9825610 | 2543586    3194  1210713   379.1 |  8.670 % |
|      4936 | 3915819  9825583 | 2797945    4874  2201078   451.6 |  8.670 % |
|      7498 | 3915842  9825583 | 3077739    7411  3119635   420.9 |  8.670 % |
|     11342 | 3915819  9825526 | 3385513   11215  5448885   485.9 |  8.673 % |
|     17108 | 3915899  9825526 | 3724064   16901  8184218   484.2 |  8.673 % |
|     25757 | 3915643  9825091 | 4096471   25387 13191806   519.6 |  8.677 % |
|     38731 | 3915765  9825037 | 4506118   38189 19606153   513.4 |  8.678 % |
|     58192 | 3915820  9825001 | 4956730   57551 39348829   683.7 |  8.678 % |
|     87385 | 3915896  9824974 | 5452403   86635 62661412   723.3 |  8.679 % |
|    131175 | 3889761  9782438 | 5997643  129700 81221166   626.2 |  9.705 % |
|    196860 | 3880136  9770155 | 6597407  169222 96583472   570.8 |  9.716 % |
|    295389 | 3877569  9766364 | 7257148  266446 173627654   651.6 |  9.783 % |
|    443178 | 3873544  9761798 | 7982863  410224 293642616   715.8 |  9.854 % |
|    664862 | 3870008  9757279 | 8781150  630634 465594303   738.3 |  9.941 % |
|    997387 | 3867014  9752976 | 9659265  961274 743985567   774.0 | 10.028 % |
