Reading from standard input... Use '-h' or '--help' for help.
==================================[MINISAT]===================================
| Conflicts |     ORIGINAL     |              LEARNT              | Progress |
|           | Clauses Literals |   Limit Clauses Literals  Lit/Cl |          |
==============================================================================
|         0 | 3913514  9822462 | 1304504       0        0     nan |  0.000 % |
|       109 | 3913515  9822462 | 1434954     108    28583   264.7 |  8.732 % |
|       262 | 3913519  9822462 | 1578449     256    58478   228.4 |  8.733 % |
|       488 | 3913524  9822462 | 1736294     476   124046   260.6 |  8.733 % |
|       828 | 3913535  9822462 | 1909924     805   232486   288.8 |  8.733 % |
|      1337 | 3913540  9822462 | 2100916    1308   325475   248.8 |  8.733 % |
|      2097 | 3913539  9822453 | 2311008    2053   746726   363.7 |  8.733 % |
|      3239 | 3913562  9822453 | 2542109    3172  1247407   393.3 |  8.733 % |
|      4957 | 3913574  9822453 | 2796320    4875  2182555   447.7 |  8.733 % |
|      7522 | 3913604  9822453 | 3075952    7409  2747946   370.9 |  8.733 % |
|     11367 | 3913616  9822426 | 3383547   11217  3688888   328.9 |  8.733 % |
|     17133 | 3913652  9822417 | 3721902   16937  6024509   355.7 |  8.735 % |
|     25784 | 3897348  9795299 | 4094092   23547  9097768   386.4 |  9.101 % |
|     38758 | 3897448  9795263 | 4503501   36373 18901714   519.7 |  9.102 % |
|     58219 | 3897479  9795209 | 4953851   55750 36048741   646.6 |  9.105 % |
|     87411 | 3897478  9794951 | 5449236   84796 60954381   718.8 |  9.106 % |
|    131200 | 3897544  9794870 | 5994160  128431 96174794   748.8 |  9.107 % |
|    196885 | 3897643  9794807 | 6593576  193944 144769212   746.4 |  9.108 % |
|    295411 | 3897762  9794762 | 7252934  292279 222670800   761.8 |  9.109 % |
|    443203 | 3897874  9794633 | 7978227  439728 343695847   781.6 |  9.112 % |
|    664886 | 3898038  9794516 | 8776050  661086 525152160   794.4 |  9.114 % |
|    997412 | 3898229  9794453 | 9653655  993302 805507038   810.9 |  9.117 % |
