Reading from standard input... Use '-h' or '--help' for help.
==================================[MINISAT]===================================
| Conflicts |     ORIGINAL     |              LEARNT              | Progress |
|           | Clauses Literals |   Limit Clauses Literals  Lit/Cl |          |
==============================================================================
|         0 | 3917972  9828340 | 1305990       0        0     nan |  0.000 % |
|       109 | 3917973  9828340 | 1436589     108    28583   264.7 |  8.615 % |
|       259 | 3917977  9828340 | 1580247     253    54741   216.4 |  8.615 % |
|       484 | 3917991  9828340 | 1738272     463   119754   258.6 |  8.615 % |
|       821 | 3917993  9828340 | 1912099     798   423576   530.8 |  8.615 % |
|      1327 | 3918000  9828340 | 2103309    1296   631824   487.5 |  8.615 % |
|      2086 | 3918006  9828340 | 2313640    2048   976874   477.0 |  8.615 % |
|      3227 | 3917991  9828304 | 2545005    3172  1716815   541.2 |  8.615 % |
|      4935 | 3918000  9828304 | 2799505    4871  2459687   505.0 |  8.615 % |
|      7499 | 3918031  9828304 | 3079456    7404  3357827   453.5 |  8.615 % |
|     11343 | 3918057  9828304 | 3387401   11222  7040972   627.4 |  8.615 % |
|     17109 | 3918079  9828295 | 3726141   16958 12277295   724.0 |  8.616 % |
|     25758 | 3918141  9828295 | 4098756   25536 19585154   767.0 |  8.616 % |
|     38732 | 3918209  9828271 | 4508631   38417 24920244   648.7 |  8.616 % |
|     58194 | 3918254  9828226 | 4959494   57777 50343198   871.3 |  8.617 % |
|     87386 | 3918349  9828136 | 5455444   86791 79606746   917.2 |  8.619 % |
|    131176 | 3918576  9828118 | 6000988  130325 107407627   824.2 |  8.619 % |
|    196862 | 3918761  9828019 | 6601087  195729 154222956   787.9 |  8.621 % |
|    295390 | 3919014  9827893 | 7261196  293850 229001661   779.3 |  8.623 % |
|    443179 | 3895875  9790587 | 7987316  441033 367269136   832.7 |  9.214 % |
|    664864 | 3896304  9790533 | 8786047  662184 545878246   824.4 |  9.216 % |
|    997390 | 3896496  9790443 | 9664652  994319 867528000   872.5 |  9.219 % |
