Reading from standard input... Use '-h' or '--help' for help.
==================================[MINISAT]===================================
| Conflicts |     ORIGINAL     |              LEARNT              | Progress |
|           | Clauses Literals |   Limit Clauses Literals  Lit/Cl |          |
==============================================================================
|         0 | 3917744  9828472 | 1305914       0        0     nan |  0.000 % |
|       109 | 3917745  9828472 | 1436505     108    28583   264.7 |  8.619 % |
|       260 | 3917761  9828472 | 1580155     242    53759   222.1 |  8.619 % |
|       487 | 3917763  9828472 | 1738171     467   155733   333.5 |  8.619 % |
|       826 | 3917767  9828472 | 1911988     802   252901   315.3 |  8.619 % |
|      1334 | 3917770  9828472 | 2103187    1307   333267   255.0 |  8.619 % |
|      2093 | 3917786  9828472 | 2313506    2048   520235   254.0 |  8.619 % |
|      3232 | 3917766  9828436 | 2544856    3169   901085   284.3 |  8.619 % |
|      4942 | 3917784  9828436 | 2799342    4861  1497026   308.0 |  8.619 % |
|      7506 | 3917807  9828400 | 3079276    7368  2168184   294.3 |  8.620 % |
|     11352 | 3917852  9828382 | 3387204   11147  5387992   483.4 |  8.620 % |
|     17118 | 3917874  9828346 | 3725925   16860 11355668   673.5 |  8.621 % |
|     25767 | 3917914  9828346 | 4098517   25464 15086314   592.5 |  8.621 % |
|     38745 | 3917974  9828310 | 4508369   38334 24965500   651.3 |  8.621 % |
|     58206 | 3918100  9828310 | 4959206   57663 41751863   724.1 |  8.622 % |
|     87401 | 3918315  9828229 | 5455126   86560 67212272   776.5 |  8.623 % |
|    131194 | 3918411  9828160 | 6000639  130188 116367339   893.8 |  8.624 % |
|    196880 | 3918498  9828079 | 6600703  195675 170224670   869.9 |  8.629 % |
|    295410 | 3918366  9827752 | 7260773  294006 258469558   879.1 |  8.631 % |
|    443199 | 3918475  9827590 | 7986851  441453 379682350   860.1 |  9.324 % |
|    664884 | 3890846  9784570 | 8785536  662149 563310277   850.7 |  9.359 % |
|    997411 | 3890627  9784039 | 9664090  994355 869281243   874.2 |  9.370 % |
