Reading from standard input... Use '-h' or '--help' for help.
==================================[MINISAT]===================================
| Conflicts |     ORIGINAL     |              LEARNT              | Progress |
|           | Clauses Literals |   Limit Clauses Literals  Lit/Cl |          |
==============================================================================
|         0 | 3918071  9829477 | 1306023       0        0     nan |  0.000 % |
|       109 | 3918072  9829477 | 1436625     108    28583   264.7 |  8.606 % |
|       260 | 3918079  9829477 | 1580287     251    43608   173.7 |  8.606 % |
|       485 | 3918087  9829477 | 1738316     467   139416   298.5 |  8.606 % |
|       826 | 3918093  9829477 | 1912148     802   224308   279.7 |  8.606 % |
|      1332 | 3918096  9829477 | 2103363    1305   322670   247.3 |  8.606 % |
|      2091 | 3918106  9829477 | 2313699    2054   516747   251.6 |  8.606 % |
|      3235 | 3918123  9829477 | 2545069    3180  2786478   876.3 |  8.606 % |
|      4944 | 3918135  9829381 | 2799576    4830  3168600   656.0 |  8.606 % |
|      7506 | 3918187  9829381 | 3079533    7338  4068301   554.4 |  8.607 % |
|     11354 | 3918213  9829381 | 3387487   11151  6521030   584.8 |  8.607 % |
|     17120 | 3918290  9829381 | 3726236   16840  8137702   483.2 |  8.607 % |
|     25769 | 3918375  9829345 | 4098859   25374 12022315   473.8 |  8.610 % |
|     38745 | 3888334  9783318 | 4508745   38085 17929723   470.8 |  9.432 % |
|     58206 | 3888289  9783138 | 4959620   57398 28174629   490.9 |  9.434 % |
|     87399 | 3888361  9783075 | 5455582   86439 48696732   563.4 |  9.436 % |
|    131188 | 3888379  9782931 | 6001140  130063 90529727   696.0 |  9.438 % |
|    196872 | 3888484  9782811 | 6601254  195503 140371127   718.0 |  9.440 % |
|    295398 | 3888682  9782742 | 7261379  293736 218957529   745.4 |  9.442 % |
|    443188 | 3885981  9779026 | 7987517  441023 322248615   730.7 |  9.528 % |
|    664876 | 3885277  9777811 | 8786269  662300 504544179   761.8 |  9.538 % |
|    997401 | 3879950  9770402 | 9664896  993143 776383545   781.7 |  9.666 % |
