Reading from standard input... Use '-h' or '--help' for help.
==================================[MINISAT]===================================
| Conflicts |     ORIGINAL     |              LEARNT              | Progress |
|           | Clauses Literals |   Limit Clauses Literals  Lit/Cl |          |
==============================================================================
|         0 | 3916926  9827790 | 1305642       0        0     nan |  0.000 % |
|       109 | 3916927  9827790 | 1436206     108    28583   264.7 |  8.638 % |
|       259 | 3916938  9827790 | 1579826     246    47452   192.9 |  8.638 % |
|       487 | 3916943  9827790 | 1737809     469   164906   351.6 |  8.638 % |
|       833 | 3916949  9827790 | 1911590     809   314139   388.3 |  8.638 % |
|      1339 | 3916966  9827790 | 2102749    1298   537264   413.9 |  8.638 % |
|      2100 | 3916976  9827790 | 2313024    2049   606756   296.1 |  8.638 % |
|      3246 | 3916996  9827790 | 2544326    3175  1083882   341.4 |  8.638 % |
|      4954 | 3916999  9827781 | 2798759    4873  1836806   376.9 |  8.638 % |
|      7517 | 3917028  9827754 | 3078635    7383  3666396   496.6 |  8.639 % |
|     11363 | 3917041  9827754 | 3386499   11216  4268492   380.6 |  8.639 % |
|     17129 | 3917105  9827718 | 3725149   16886  8996302   532.8 |  8.639 % |
|     25778 | 3917148  9827718 | 4097663   25492 13022434   510.8 |  8.639 % |
|     38752 | 3917091  9827406 | 4507430   38218 19511154   510.5 |  8.646 % |
|     58213 | 3890489  9786139 | 4958173   57175 26343686   460.8 |  9.352 % |
|     87405 | 3890574  9786133 | 5453990   86274 41323469   479.0 |  9.352 % |
|    131194 | 3889990  9785341 | 5999389  129886 61922120   476.7 |  9.373 % |
|    196878 | 3889489  9784447 | 6599328  195155 103124608   528.4 |  9.385 % |
|    295405 | 3884111  9777195 | 7259261  291354 187887350   644.9 |  9.516 % |
|    443196 | 3884182  9776484 | 7985187  438501 310793552   708.8 |  9.526 % |
|    664880 | 3884240  9775980 | 8783706  659656 488230076   740.1 |  9.535 % |
|    997405 | 3884380  9775836 | 9662077  991770 793150772   799.7 |  9.539 % |
