Reading from standard input... Use '-h' or '--help' for help.
==================================[MINISAT]===================================
| Conflicts |     ORIGINAL     |              LEARNT              | Progress |
|           | Clauses Literals |   Limit Clauses Literals  Lit/Cl |          |
==============================================================================
|         0 | 3917690  9828437 | 1305896       0        0     nan |  0.000 % |
|       109 | 3917691  9828437 | 1436485     108    28583   264.7 |  8.619 % |
|       259 | 3917695  9828437 | 1580134     253    54741   216.4 |  8.619 % |
|       484 | 3917708  9828437 | 1738147     464    76070   163.9 |  8.619 % |
|       821 | 3917713  9828437 | 1911962     796   162268   203.9 |  8.619 % |
|      1330 | 3917718  9828437 | 2103158    1300   243571   187.4 |  8.619 % |
|      2089 | 3917725  9828437 | 2313474    2052   630308   307.2 |  8.619 % |
|      3230 | 3917720  9828419 | 2544821    3182  1454392   457.1 |  8.620 % |
|      4939 | 3917737  9828419 | 2799304    4874  3324635   682.1 |  8.620 % |
|      7504 | 3917753  9828410 | 3079234    7408  4389180   592.5 |  8.620 % |
|     11348 | 3917812  9828410 | 3387157   11186  5718600   511.2 |  8.621 % |
|     17119 | 3917827  9828356 | 3725873   16892  9508990   562.9 |  8.621 % |
|     25769 | 3917892  9828347 | 4098461   25463 14813755   581.8 |  8.621 % |
|     38744 | 3917935  9828320 | 4508307   38361 22763779   593.4 |  8.621 % |
|     58205 | 3918026  9828293 | 4959137   57692 36552688   633.6 |  8.622 % |
|     87398 | 3918098  9828275 | 5455051   86779 58089455   669.4 |  8.623 % |
|    131189 | 3918140  9828122 | 6000556  130379 87955000   674.6 |  8.626 % |
|    196874 | 3918410  9828059 | 6600612  195707 137886647   704.6 |  8.627 % |
|    295403 | 3891122  9785114 | 7260673  292479 193674077   662.2 |  9.368 % |
|    443192 | 3888134  9780947 | 7986741  439548 308609246   702.1 |  9.426 % |
|    664875 | 3887663  9779963 | 8785415  660761 504551687   763.6 |  9.442 % |
|    997401 | 3887443  9779180 | 9663956  992712 782252622   788.0 |  9.591 % |
