Reading from standard input... Use '-h' or '--help' for help.
==================================[MINISAT]===================================
| Conflicts |     ORIGINAL     |              LEARNT              | Progress |
|           | Clauses Literals |   Limit Clauses Literals  Lit/Cl |          |
==============================================================================
|         0 | 3913439  9822728 | 1304479       0        0     nan |  0.000 % |
|       109 | 3913440  9822728 | 1434926     108    28583   264.7 |  8.734 % |
|       259 | 3913446  9822728 | 1578419     251    35385   141.0 |  8.734 % |
|       485 | 3913450  9822728 | 1736261     473    89597   189.4 |  8.734 % |
|       823 | 3913454  9822728 | 1909887     807   217272   269.2 |  8.734 % |
|      1329 | 3913457  9822728 | 2100876    1310   345262   263.6 |  8.734 % |
|      2089 | 3913464  9822728 | 2310964    2063   491569   238.3 |  8.734 % |
|      3232 | 3913474  9822710 | 2542060    3181  1077999   338.9 |  8.734 % |
|      4944 | 3913481  9822710 | 2796266    4886  1404174   287.4 |  8.734 % |
|      7506 | 3913495  9822710 | 3075893    7431  2441301   328.5 |  8.735 % |
|     11351 | 3913493  9822683 | 3383482   11245  4508512   400.9 |  8.735 % |
|     17118 | 3913541  9822683 | 3721830   16963  7372553   434.6 |  8.735 % |
|     25769 | 3913574  9822629 | 4094013   25529 13010544   509.6 |  8.736 % |
|     38747 | 3913625  9822602 | 4503415   38427 21491108   559.3 |  8.736 % |
|     58210 | 3913677  9822575 | 4953756   57803 34516838   597.1 |  8.737 % |
|     87404 | 3913860  9822539 | 5449132   86773 49052425   565.3 |  8.738 % |
|    131197 | 3914044  9822530 | 5994045  130360 73112797   560.9 |  8.739 % |
|    196888 | 3914090  9822386 | 6593450  195813 125769968   642.3 |  8.741 % |
|    295417 | 3913935  9821990 | 7252795  294083 200662514   682.3 |  8.746 % |
|    443206 | 3914101  9821921 | 7978074  441581 328644010   744.2 |  8.750 % |
|    664890 | 3914307  9821840 | 8775882  662923 514352306   775.9 |  8.752 % |
|    997431 | 3914461  9821795 | 9653470  995213 829400873   833.4 |  8.753 % |
