Reading from standard input... Use '-h' or '--help' for help.
==================================[MINISAT]===================================
| Conflicts |     ORIGINAL     |              LEARNT              | Progress |
|           | Clauses Literals |   Limit Clauses Literals  Lit/Cl |          |
==============================================================================
|         0 | 3915787  9825619 | 1305262       0        0     nan |  0.000 % |
|       109 | 3915788  9825619 | 1435788     108    28583   264.7 |  8.670 % |
|       260 | 3915792  9825619 | 1579367     254    56295   221.6 |  8.670 % |
|       485 | 3915794  9825619 | 1737303     477    82484   172.9 |  8.670 % |
|       823 | 3915798  9825619 | 1911034     810   142519   175.9 |  8.670 % |
|      1331 | 3915799  9825619 | 2102137    1316   210497   160.0 |  8.670 % |
|      2094 | 3915807  9825619 | 2312351    2069   542006   262.0 |  8.671 % |
|      3233 | 3915827  9825619 | 2543586    3188   871040   273.2 |  8.671 % |
|      4941 | 3915813  9825583 | 2797945    4879  1718178   352.2 |  8.671 % |
|      7503 | 3915838  9825574 | 3077739    7408  2900767   391.6 |  8.671 % |
|     11349 | 3915873  9825574 | 3385513   11218  4675478   416.8 |  8.671 % |
|     17116 | 3915895  9825565 | 3724064   16956  6857548   404.4 |  8.671 % |
|     25766 | 3915955  9825565 | 4096471   25539 14846833   581.3 |  8.671 % |
|     38740 | 3915970  9825502 | 4506118   38444 19601107   509.9 |  8.672 % |
|     58203 | 3916061  9825502 | 4956730   57810 30536632   528.2 |  8.688 % |
|     87396 | 3915131  9825139 | 5452403   86787 46015808   530.2 |  8.690 % |
|    131186 | 3915305  9825019 | 5997643  130262 64347142   494.0 |  8.690 % |
|    196871 | 3915444  9824893 | 6597407  195648 116956939   597.8 |  8.693 % |
|    295402 | 3915759  9824821 | 7257148  293774 188830053   642.8 |  8.696 % |
|    443191 | 3916074  9824671 | 7982863  441044 302318717   685.5 |  8.701 % |
|    664876 | 3916234  9824539 | 8781150  662323 469794709   709.3 |  8.703 % |
|    997402 | 3876540  9764569 | 9659265  979575 734597880   749.9 |  9.823 % |
