Reading from standard input... Use '-h' or '--help' for help.
==================================[MINISAT]===================================
| Conflicts |     ORIGINAL     |              LEARNT              | Progress |
|           | Clauses Literals |   Limit Clauses Literals  Lit/Cl |          |
==============================================================================
|         0 | 3916909  9827752 | 1305636       0        0     nan |  0.000 % |
|       109 | 3916910  9827752 | 1436199     108    28583   264.7 |  8.639 % |
|       260 | 3916916  9827752 | 1579819     252    68924   273.5 |  8.639 % |
|       485 | 3916922  9827752 | 1737801     471   115628   245.5 |  8.639 % |
|       822 | 3916925  9827752 | 1911581     805   183021   227.4 |  8.639 % |
|      1328 | 3916952  9827752 | 2102739    1282   217466   169.6 |  8.639 % |
|      2087 | 3916967  9827752 | 2313013    2024   391409   193.4 |  8.644 % |
|      3226 | 3890410  9786699 | 2544315    2877   485693   168.8 |  9.338 % |
|      4935 | 3890446  9786699 | 2798746    4545  1035218   227.8 |  9.342 % |
|      7498 | 3890134  9786378 | 3078621    7033  1476031   209.9 |  9.343 % |
|     11343 | 3890202  9786378 | 3386483   10800  3601105   333.4 |  9.427 % |
|     17111 | 3886738  9781967 | 3725131   15822  9755713   616.6 |  9.427 % |
|     25761 | 3886764  9781967 | 4097645   24446 14392832   588.8 |  9.427 % |
|     38735 | 3886127  9780878 | 4507409   37309 19503557   522.8 |  9.441 % |
|     58196 | 3886294  9780815 | 4958150   56492 28710798   508.2 |  9.442 % |
|     87389 | 3885563  9779627 | 5453965   85340 50312711   589.6 |  9.464 % |
|    131178 | 3885703  9779546 | 5999362  128893 79412899   616.1 |  9.466 % |
|    196862 | 3885227  9778751 | 6599298  194326 136346604   701.6 |  9.486 % |
|    295388 | 3885340  9778616 | 7259228  292590 209789246   717.0 |  9.488 % |
|    443188 | 3885464  9778526 | 7985151  440142 335477725   762.2 |  9.490 % |
|    664872 | 3885523  9778061 | 8783666  661388 521369198   788.3 |  9.496 % |
|    997402 | 3885633  9777989 | 9662032  993644 812836241   818.0 |  9.497 % |
