Reading from standard input... Use '-h' or '--help' for help.
==================================[MINISAT]===================================
| Conflicts |     ORIGINAL     |              LEARNT              | Progress |
|           | Clauses Literals |   Limit Clauses Literals  Lit/Cl |          |
==============================================================================
|         0 | 3917578  9829386 | 1305859       0        0     nan |  0.000 % |
|       109 | 3917579  9829386 | 1436444     108    28583   264.7 |  8.617 % |
|       260 | 3917586  9829386 | 1580089     251    43608   173.7 |  8.617 % |
|       485 | 3917588  9829386 | 1738098     473   123360   260.8 |  8.618 % |
|       829 | 3917589  9829386 | 1911908     815   253497   311.0 |  8.618 % |
|      1335 | 3917595  9829386 | 2103098    1314   397922   302.8 |  8.618 % |
|      2096 | 3917600  9829386 | 2313408    2070   646780   312.5 |  8.618 % |
|      3235 | 3917604  9829386 | 2544749    3204  1045830   326.4 |  8.618 % |
|      4949 | 3917583  9829299 | 2799224    4889  1735462   355.0 |  8.618 % |
|      7512 | 3917610  9829299 | 3079147    7423  2631196   354.5 |  8.618 % |
|     11356 | 3917632  9829281 | 3387061   11226  4309585   383.9 |  8.620 % |
|     17122 | 3917557  9829182 | 3725768   16957 13191728   778.0 |  8.620 % |
|     25771 | 3917672  9829173 | 4098344   25477 17498040   686.8 |  8.620 % |
|     38746 | 3917736  9829128 | 4508179   38341 25941092   676.6 |  8.621 % |
|     58210 | 3917922  9829110 | 4958997   57589 39949281   693.7 |  8.622 % |
|     87402 | 3917998  9829065 | 5454897   86657 62605127   722.4 |  8.622 % |
|    131191 | 3918124  9829047 | 6000386  130270 99370810   762.8 |  8.623 % |
|    196875 | 3918233  9828930 | 6600425  195712 154076919   787.3 |  8.625 % |
|    295402 | 3918118  9828612 | 7260468  294028 230304908   783.3 |  8.630 % |
|    443195 | 3918269  9828522 | 7986514  441545 351664595   796.4 |  8.631 % |
|    664880 | 3918494  9828477 | 8785166  662923 536769345   809.7 |  8.633 % |
|    997405 | 3918578  9828360 | 9663682  995170 838805028   842.9 |  8.635 % |
