Reading from standard input... Use '-h' or '--help' for help.
==================================[MINISAT]===================================
| Conflicts |     ORIGINAL     |              LEARNT              | Progress |
|           | Clauses Literals |   Limit Clauses Literals  Lit/Cl |          |
==============================================================================
|         0 | 3915803  9825351 | 1305267       0        0     nan |  0.000 % |
|       109 | 3915804  9825351 | 1435793     108    28583   264.7 |  8.669 % |
|       259 | 3915810  9825351 | 1579373     251    35385   141.0 |  8.670 % |
|       492 | 3915813  9825351 | 1737310     481    93093   193.5 |  8.670 % |
|       833 | 3915819  9825351 | 1911041     815   202303   248.2 |  8.670 % |
|      1339 | 3915823  9825351 | 2102145    1317   494756   375.7 |  8.670 % |
|      2099 | 3915847  9825351 | 2312360    2053   719580   350.5 |  8.670 % |
|      3238 | 3915835  9825333 | 2543596    3190   869058   272.4 |  8.670 % |
|      4946 | 3915847  9825333 | 2797955    4886  2875837   588.6 |  8.670 % |
|      7511 | 3915874  9825324 | 3077751    7416  4377685   590.3 |  8.670 % |
|     11356 | 3915920  9825324 | 3385526   11207  6381072   569.4 |  8.670 % |
|     17123 | 3915935  9825279 | 3724079   16907  9750274   576.7 |  8.671 % |
|     25774 | 3915930  9825225 | 4096486   25519 18964287   743.1 |  8.671 % |
|     38749 | 3916038  9825207 | 4506135   38367 29910469   779.6 |  8.672 % |
|     58212 | 3916060  9825162 | 4956749   57761 49356619   854.5 |  8.673 % |
|     87405 | 3916113  9825162 | 5452424   86901 66732520   767.9 |  8.673 % |
|    131201 | 3916238  9825108 | 5997666  130490 100464678   769.9 |  8.674 % |
|    196886 | 3916337  9824973 | 6597433  195918 150905413   770.2 |  8.676 % |
|    295412 | 3916264  9824658 | 7257176  294194 233877124   795.0 |  8.681 % |
|    443209 | 3916380  9824535 | 7982894  441687 363933802   824.0 |  8.685 % |
|    664892 | 3916672  9824499 | 8781183  663007 575266286   867.7 |  8.688 % |
|    997420 | 3916831  9824265 | 9659302  995090 851789745   856.0 |  8.690 % |
