Reading from standard input... Use '-h' or '--help' for help.
==================================[MINISAT]===================================
| Conflicts |     ORIGINAL     |              LEARNT              | Progress |
|           | Clauses Literals |   Limit Clauses Literals  Lit/Cl |          |
==============================================================================
|         0 | 3917694  9828433 | 1305898       0        0     nan |  0.000 % |
|       109 | 3917695  9828433 | 1436487     108    28583   264.7 |  8.619 % |
|       259 | 3917699  9828433 | 1580136     253    54741   216.4 |  8.619 % |
|       484 | 3917699  9828433 | 1738150     478   231641   484.6 |  8.619 % |
|       822 | 3917714  9828433 | 1911965     801   319802   399.3 |  8.619 % |
|      1333 | 3917719  9828433 | 2103161    1306   460209   352.4 |  8.619 % |
|      2092 | 3917732  9828433 | 2313477    2050   656085   320.0 |  8.619 % |
|      3231 | 3917760  9828433 | 2544825    3161  1520725   481.1 |  8.619 % |
|      4941 | 3917761  9828424 | 2799308    4853  2205128   454.4 |  8.619 % |
|      7504 | 3917804  9828424 | 3079239    7372  3149477   427.2 |  8.619 % |
|     11348 | 3917835  9828406 | 3387163   11167  4258537   381.4 |  8.619 % |
|     17115 | 3917843  9828391 | 3725879   16908  6245964   369.4 |  8.620 % |
|     25765 | 3890699  9786376 | 4098467   23994  7640599   318.4 |  9.325 % |
|     38739 | 3886463  9781562 | 4508314   36272 13785294   380.1 |  9.433 % |
|     58205 | 3886467  9781394 | 4959145   55608 23084430   415.1 |  9.433 % |
|     87397 | 3886298  9781037 | 5455060   84576 35954821   425.1 |  9.440 % |
|    131187 | 3886363  9780947 | 6000566  128193 69547888   542.5 |  9.443 % |
|    196875 | 3885606  9779645 | 6600622  193515 127073109   656.7 |  9.461 % |
|    295407 | 3885857  9779600 | 7260684  291731 199577625   684.1 |  9.463 % |
|    443197 | 3885995  9779510 | 7986753  439257 322660799   734.6 |  9.465 % |
|    664881 | 3885919  9778907 | 8785428  660381 504598675   764.1 |  9.484 % |
|    997408 | 3884939  9777378 | 9663971  992472 814041269   820.2 |  9.508 % |
