Reading from standard input... Use '-h' or '--help' for help.
==================================[MINISAT]===================================
| Conflicts |     ORIGINAL     |              LEARNT              | Progress |
|           | Clauses Literals |   Limit Clauses Literals  Lit/Cl |          |
==============================================================================
|         0 | 3913507  9822711 | 1304502       0        0     nan |  0.000 % |
|       109 | 3913508  9822711 | 1434952     108    28583   264.7 |  8.733 % |
|       259 | 3913521  9822711 | 1578447     243    37844   155.7 |  8.733 % |
|       484 | 3913530  9822711 | 1736292     459    62673   136.5 |  8.733 % |
|       837 | 3913537  9822711 | 1909921     805   187335   232.7 |  8.733 % |
|      1345 | 3913558  9822711 | 2100913    1289   277322   215.1 |  8.734 % |
|      2104 | 3913565  9822711 | 2311004    2041   610204   299.0 |  8.734 % |
|      3243 | 3913587  9822711 | 2542105    3158  1087502   344.4 |  8.734 % |
|      4956 | 3913574  9822675 | 2796315    4851  2997374   617.9 |  8.734 % |
|      7521 | 3913621  9822675 | 3075947    7369  3698071   501.8 |  8.734 % |
|     11366 | 3913623  9822675 | 3383542   11206  5191648   463.3 |  8.734 % |
|     17134 | 3913654  9822666 | 3721896   16934  6935089   409.5 |  8.734 % |
|     25784 | 3913666  9822666 | 4094086   25569  9616859   376.1 |  8.734 % |
|     38758 | 3913719  9822642 | 4503494   38464 27082047   704.1 |  8.734 % |
|     58221 | 3913861  9822609 | 4953844   57741 41002940   710.1 |  8.736 % |
|     87414 | 3913959  9822573 | 5449228   86794 70458086   811.8 |  8.736 % |
|    131204 | 3913742  9822159 | 5994151  130399 105216163   806.9 |  8.741 % |
|    196890 | 3913839  9822111 | 6593566  195896 162405751   829.0 |  8.744 % |
|    295418 | 3914044  9821985 | 7252923  294080 255283585   868.1 |  8.747 % |
|    443207 | 3878793  9772032 | 7978215  429022 340067242   792.7 |  9.699 % |
|    664890 | 3878246  9771345 | 8776037  650376 530926230   816.3 |  9.702 % |
|    997416 | 3872652  9764700 | 9653640  981938 793986549   808.6 |  9.848 % |
