Reading from standard input... Use '-h' or '--help' for help.
==================================[MINISAT]===================================
| Conflicts |     ORIGINAL     |              LEARNT              | Progress |
|           | Clauses Literals |   Limit Clauses Literals  Lit/Cl |          |
==============================================================================
|         0 | 3916447  9826615 | 1305482       0        0     nan |  0.000 % |
|       109 | 3916448  9826615 | 1436030     108    28583   264.7 |  8.655 % |
|       262 | 3916452  9826615 | 1579633     256    58468   228.4 |  8.655 % |
|       492 | 3916457  9826615 | 1737596     480   127722   266.1 |  8.655 % |
|       833 | 3916460  9826615 | 1911356     817   291456   356.7 |  8.655 % |
|      1340 | 3916461  9826615 | 2102491    1323   421252   318.4 |  8.655 % |
|      2101 | 3916467  9826615 | 2312740    2077   845849   407.2 |  8.655 % |
|      3240 | 3916481  9826615 | 2544015    3200  1147374   358.6 |  8.655 % |
|      4948 | 3916469  9826588 | 2798416    4891  3258617   666.2 |  8.655 % |
|      7510 | 3916488  9826561 | 3078258    7406  4048408   546.6 |  8.656 % |
|     11361 | 3916548  9826561 | 3386084   11194  5570733   497.7 |  8.657 % |
|     17127 | 3916460  9826417 | 3724692   16895  9809634   580.6 |  8.658 % |
|     25780 | 3916516  9826417 | 4097161   25490 15330119   601.4 |  8.658 % |
|     38754 | 3894693  9791679 | 4506877   37827 23772423   628.5 |  9.212 % |
|     58220 | 3894657  9791574 | 4957565   57214 35975668   628.8 |  9.214 % |
|     87413 | 3894702  9791343 | 5453322   86246 49833279   577.8 |  9.216 % |
|    131203 | 3894600  9791022 | 5998654  129836 88254798   679.7 |  9.222 % |
|    196896 | 3894464  9790635 | 6598519  195270 138460752   709.1 |  9.227 % |
|    295423 | 3894592  9790482 | 7258371  293485 215771729   735.2 |  9.230 % |
|    443213 | 3894837  9790455 | 7984209  440963 334426348   758.4 |  9.232 % |
|    664897 | 3895030  9790344 | 8782630  662292 543928356   821.3 |  9.234 % |
|    997424 | 3895063  9790116 | 9660893  994435 828504743   833.1 |  9.240 % |
