Reading from standard input... Use '-h' or '--help' for help.
==================================[MINISAT]===================================
| Conflicts |     ORIGINAL     |              LEARNT              | Progress |
|           | Clauses Literals |   Limit Clauses Literals  Lit/Cl |          |
==============================================================================
|         0 | 3918036  9829450 | 1306012       0        0     nan |  0.000 % |
|       109 | 3918037  9829450 | 1436613     108    28583   264.7 |  8.607 % |
|       260 | 3918044  9829450 | 1580274     251    43608   173.7 |  8.607 % |
|       486 | 3918046  9829450 | 1738301     474   196127   413.8 |  8.607 % |
|       823 | 3918049  9829450 | 1912132     808   439440   543.9 |  8.607 % |
|      1332 | 3918053  9829450 | 2103345    1313   523235   398.5 |  8.607 % |
|      2091 | 3918058  9829450 | 2313679    2066   777265   376.2 |  8.607 % |
|      3230 | 3918022  9829363 | 2545047    3195  1727513   540.7 |  8.607 % |
|      4939 | 3918041  9829363 | 2799552    4885  2354928   482.1 |  8.607 % |
|      7503 | 3918063  9829354 | 3079507    7415  3626502   489.1 |  8.607 % |
|     11347 | 3918082  9829318 | 3387458   11199  5040087   450.0 |  8.608 % |
|     17115 | 3918119  9829282 | 3726204   16894  8296603   491.1 |  8.609 % |
|     25769 | 3918186  9829273 | 4098825   25464 17119400   672.3 |  8.609 % |
|     38744 | 3918266  9829273 | 4508707   38358 20631451   537.9 |  8.609 % |
|     58205 | 3918306  9829255 | 4959578   57762 25912649   448.6 |  8.609 % |
|     87399 | 3918384  9829255 | 5455536   86878 36014501   414.5 |  8.609 % |
|    131196 | 3918490  9829120 | 6001089  130390 66289907   508.4 |  8.612 % |
|    196881 | 3918914  9829066 | 6601198  195587 97794135   500.0 |  8.613 % |
|    295408 | 3886467  9779878 | 7261318  293047 168414975   574.7 |  9.534 % |
|    443198 | 3885015  9777283 | 7987450  440000 280096161   636.6 |  9.546 % |
|    664881 | 3885248  9777184 | 8786195  661294 470453407   711.4 |  9.548 % |
|    997409 | 3885519  9777055 | 9664815  993358 731001653   735.9 |  9.551 % |
