Reading from standard input... Use '-h' or '--help' for help.
==================================[MINISAT]===================================
| Conflicts |     ORIGINAL     |              LEARNT              | Progress |
|           | Clauses Literals |   Limit Clauses Literals  Lit/Cl |          |
==============================================================================
|         0 | 3913495  9822736 | 1304498       0        0     nan |  0.000 % |
|       109 | 3913496  9822736 | 1434947     108    28583   264.7 |  8.734 % |
|       262 | 3913500  9822736 | 1578442     256    58468   228.4 |  8.734 % |
|       492 | 3913505  9822736 | 1736286     480   127722   266.1 |  8.734 % |
|       836 | 3913507  9822736 | 1909915     821   284451   346.5 |  8.734 % |
|      1343 | 3913524  9822736 | 2100907    1310   347840   265.5 |  8.734 % |
|      2102 | 3913526  9822736 | 2310997    2067   665808   322.1 |  8.734 % |
|      3241 | 3913539  9822736 | 2542097    3192  2220419   695.6 |  8.734 % |
|      4949 | 3913542  9822709 | 2796307    4871  4508325   925.5 |  8.734 % |
|      7513 | 3913546  9822691 | 3075938    7407  6467759   873.2 |  8.735 % |
|     11358 | 3913607  9822691 | 3383531   11188  9137023   816.7 |  8.735 % |
|     17125 | 3913646  9822664 | 3721885   16887 12493860   739.9 |  8.736 % |
|     25774 | 3913681  9822619 | 4094073   25446 15678947   616.2 |  8.736 % |
|     38749 | 3913720  9822583 | 4503480   38347 24956599   650.8 |  8.737 % |
|     58210 | 3913770  9822556 | 4953828   57725 40641258   704.0 |  8.737 % |
|     87406 | 3913825  9822493 | 5449211   86803 63541362   732.0 |  8.738 % |
|    131197 | 3913973  9822457 | 5994133  130410 93238641   715.0 |  8.739 % |
|    196881 | 3914132  9822376 | 6593546  195841 148733947   759.5 |  8.740 % |
|    295407 | 3914382  9822349 | 7252901  294069 232802721   791.7 |  8.745 % |
|    443197 | 3914427  9821908 | 7978191  441378 346640373   785.4 |  8.748 % |
|    664882 | 3914662  9821836 | 8776010  662728 488511376   737.1 |  8.749 % |
|    997407 | 3914903  9821728 | 9653611  994839 771519581   775.5 |  8.751 % |
