Reading from standard input... Use '-h' or '--help' for help.
==================================[MINISAT]===================================
| Conflicts |     ORIGINAL     |              LEARNT              | Progress |
|           | Clauses Literals |   Limit Clauses Literals  Lit/Cl |          |
==============================================================================
|         0 | 3917384  9828495 | 1305794       0        0     nan |  0.000 % |
|       109 | 3917385  9828495 | 1436373     108    28583   264.7 |  8.626 % |
|       259 | 3917394  9828495 | 1580010     248    60847   245.4 |  8.626 % |
|       484 | 3917395  9828495 | 1738011     472   103716   219.7 |  8.626 % |
|       823 | 3917401  9828495 | 1911812     805   184632   229.4 |  8.626 % |
|      1334 | 3917410  9828495 | 2102994    1307   364426   278.8 |  8.626 % |
|      2093 | 3917431  9828495 | 2313293    2045   671837   328.5 |  8.626 % |
|      3235 | 3917436  9828495 | 2544623    3179  1851370   582.4 |  8.626 % |
|      4943 | 3917426  9828486 | 2799085    4879  2451289   502.4 |  8.626 % |
|      7506 | 3917477  9828486 | 3078993    7388  3283415   444.4 |  8.626 % |
|     11355 | 3917475  9828450 | 3386893   11206  5810618   518.5 |  8.627 % |
|     17122 | 3917508  9828396 | 3725582   16892  8506881   503.6 |  8.627 % |
|     25772 | 3917526  9828360 | 4098140   25490 13769951   540.2 |  8.628 % |
|     38747 | 3917567  9828351 | 4507955   38411 26365782   686.4 |  8.628 % |
|     58210 | 3917746  9828342 | 4958750   57683 38477577   667.1 |  9.416 % |
|     87403 | 3888951  9784479 | 5454625   86288 57329180   664.4 |  9.418 % |
|    131192 | 3889020  9784230 | 6000088  129866 94416563   727.0 |  9.421 % |
|    196878 | 3889061  9784080 | 6600096  195347 142570897   729.8 |  9.425 % |
|    295404 | 3888942  9783687 | 7260106  293537 218753868   745.2 |  9.432 % |
|    443194 | 3888907  9783354 | 7986117  440926 334898950   759.5 |  9.438 % |
|    664879 | 3889163  9783258 | 8784729  662208 519310256   784.2 |  9.442 % |
|    997405 | 3889196  9783042 | 9663201  994404 796169884   800.7 |  9.444 % |
