Reading from standard input... Use '-h' or '--help' for help.
==================================[MINISAT]===================================
| Conflicts |     ORIGINAL     |              LEARNT              | Progress |
|           | Clauses Literals |   Limit Clauses Literals  Lit/Cl |          |
==============================================================================
|         0 | 3917337  9828676 | 1305779       0        0     nan |  0.000 % |
|       109 | 3917338  9828676 | 1436356     108    28583   264.7 |  8.623 % |
|       260 | 3917345  9828676 | 1579992     251    73412   292.5 |  8.623 % |
|       486 | 3917349  9828676 | 1737991     472   107260   227.2 |  8.623 % |
|       830 | 3917351  9828676 | 1911791     814   265717   326.4 |  8.623 % |
|      1336 | 3917357  9828676 | 2102970    1314   560276   426.4 |  8.623 % |
|      2096 | 3917376  9828676 | 2313267    2054   968917   471.7 |  8.623 % |
|      3237 | 3917369  9828649 | 2544593    3178  1462816   460.3 |  8.624 % |
|      4947 | 3917387  9828649 | 2799053    4870  2036825   418.2 |  8.624 % |
|      7543 | 3917379  9828604 | 3078958    7431  3717566   500.3 |  8.624 % |
|     11388 | 3917431  9828604 | 3386854   11221  5660131   504.4 |  8.624 % |
|     17154 | 3917428  9828571 | 3725539   16953 17523689  1033.7 |  8.624 % |
|     25803 | 3917510  9828571 | 4098093   25506 22545992   883.9 |  8.631 % |
|     38784 | 3917168  9828091 | 4507903   38375 35957078   937.0 |  8.631 % |
|     58252 | 3917210  9828064 | 4958693   57771 58403731  1011.0 |  8.632 % |
|     87445 | 3917262  9828010 | 5454562   86860 91159852  1049.5 |  8.632 % |
|    131236 | 3917349  9827983 | 6000019  130521 127717088   978.5 |  8.633 % |
|    196920 | 3917488  9827947 | 6600021  196002 172553644   880.4 |  8.634 % |
|    295446 | 3917628  9827866 | 7260023  294291 245739888   835.0 |  8.635 % |
|    443237 | 3917878  9827830 | 7986025  441773 359809293   814.5 |  8.637 % |
|    664920 | 3918258  9827686 | 8784628  662879 559882999   844.6 |  8.640 % |
|    997446 | 3918497  9827659 | 9663090  995099 882135262   886.5 |  9.399 % |
