Reading from standard input... Use '-h' or '--help' for help.
==================================[MINISAT]===================================
| Conflicts |     ORIGINAL     |              LEARNT              | Progress |
|           | Clauses Literals |   Limit Clauses Literals  Lit/Cl |          |
==============================================================================
|         0 | 3916923  9827423 | 1305641       0        0     nan |  0.000 % |
|       109 | 3916924  9827423 | 1436205     108    28583   264.7 |  8.638 % |
|       262 | 3916928  9827423 | 1579825     256    58468   228.4 |  8.639 % |
|       492 | 3916933  9827423 | 1737808     480   127722   266.1 |  8.639 % |
|       829 | 3916934  9827423 | 1911588     814   252901   310.7 |  8.639 % |
|      1335 | 3916937  9827423 | 2102747    1317   443482   336.7 |  8.639 % |
|      2095 | 3916956  9827423 | 2313022    2058   683793   332.3 |  8.639 % |
|      3236 | 3916974  9827423 | 2544324    3179   937259   294.8 |  8.639 % |
|      4945 | 3916968  9827396 | 2798757    4865  3500622   719.6 |  8.639 % |
|      7507 | 3917024  9827396 | 3078633    7368  4518082   613.2 |  8.639 % |
|     11351 | 3917053  9827378 | 3386496   11165  5631772   504.4 |  8.639 % |
|     17118 | 3917065  9827369 | 3725146   16912  7713135   456.1 |  8.640 % |
|     25767 | 3917075  9827324 | 4097660   25508 12459688   488.5 |  8.640 % |
|     38742 | 3917138  9827297 | 4507426   38391 22217822   578.7 |  8.642 % |
|     58203 | 3917084  9827153 | 4958169   57758 34498626   597.3 |  8.643 % |
|     87395 | 3917260  9827126 | 5453986   86744 57821796   666.6 |  8.644 % |
|    131184 | 3917466  9827072 | 5999385  130246 89223106   685.0 |  8.645 % |
|    196869 | 3917531  9826982 | 6599323  195761 144198656   736.6 |  8.646 % |
|    295398 | 3917750  9826955 | 7259256  294013 221933668   754.8 |  8.651 % |
|    443192 | 3917698  9826568 | 7985181  441445 344442472   780.3 |  8.653 % |
|    664883 | 3917828  9826406 | 8783699  662780 531750447   802.3 |  8.656 % |
|    997410 | 3918041  9826352 | 9662069  994992 830057126   834.2 |  8.658 % |
