Reading from standard input... Use '-h' or '--help' for help.
==================================[MINISAT]===================================
| Conflicts |     ORIGINAL     |              LEARNT              | Progress |
|           | Clauses Literals |   Limit Clauses Literals  Lit/Cl |          |
==============================================================================
|         0 | 3913514  9822718 | 1304504       0        0     nan |  0.000 % |
|       109 | 3913515  9822718 | 1434954     108    28583   264.7 |  8.733 % |
|       259 | 3913521  9822718 | 1578449     251    35385   141.0 |  8.733 % |
|       492 | 3913524  9822718 | 1736294     481    93093   193.5 |  8.733 % |
|       829 | 3913532  9822718 | 1909924     810   322495   398.1 |  8.733 % |
|      1335 | 3913539  9822718 | 2100916    1309   554176   423.4 |  8.733 % |
|      2094 | 3913556  9822718 | 2311008    2050   824611   402.2 |  8.733 % |
|      3234 | 3913563  9822718 | 2542109    3183  1507449   473.6 |  8.733 % |
|      4942 | 3913573  9822700 | 2796320    4862  1862958   383.2 |  8.734 % |
|      7507 | 3913558  9822664 | 3075952    7407  3062911   413.5 |  8.734 % |
|     11351 | 3913590  9822664 | 3383547   11215  5029976   448.5 |  8.735 % |
|     17119 | 3913589  9822610 | 3721902   16937  9143905   539.9 |  8.735 % |
|     25769 | 3913611  9822583 | 4094092   25539 20809634   814.8 |  8.735 % |
|     38745 | 3913620  9822547 | 4503501   38467 30118748   783.0 |  8.736 % |
|     58206 | 3913679  9822475 | 4953851   57794 44094416   763.0 |  8.737 % |
|     87398 | 3913727  9822421 | 5449236   86877 68675102   790.5 |  8.738 % |
|    131188 | 3913809  9822349 | 5994160  130489 102405239   784.8 |  8.740 % |
|    196873 | 3913928  9822304 | 6593576  196003 147897645   754.6 |  8.741 % |
|    295399 | 3914042  9822232 | 7252934  294334 227367592   772.5 |  8.745 % |
|    443192 | 3913949  9821854 | 7978227  441827 349064778   790.0 |  8.747 % |
|    664876 | 3914307  9821836 | 8776050  663111 524032008   790.3 |  8.748 % |
|    997401 | 3914465  9821767 | 9653655  995336 820576173   824.4 |  8.751 % |
