Reading from standard input... Use '-h' or '--help' for help.
==================================[MINISAT]===================================
| Conflicts |     ORIGINAL     |              LEARNT              | Progress |
|           | Clauses Literals |   Limit Clauses Literals  Lit/Cl |          |
==============================================================================
|         0 | 3915705  9825370 | 1305235       0        0     nan |  0.000 % |
|       109 | 3915706  9825370 | 1435758     108    28583   264.7 |  8.670 % |
|       259 | 3915712  9825370 | 1579334     251    35385   141.0 |  8.670 % |
|       485 | 3915716  9825370 | 1737267     473    89597   189.4 |  8.670 % |
|       823 | 3915720  9825370 | 1910994     807   217272   269.2 |  8.670 % |
|      1331 | 3915756  9825370 | 2102094    1279   325996   254.9 |  8.670 % |
|      2090 | 3915766  9825370 | 2312303    2026   585590   289.0 |  8.671 % |
|      3229 | 3915772  9825370 | 2543533    3158   763109   241.6 |  8.671 % |
|      4937 | 3915760  9825334 | 2797887    4850  1519301   313.3 |  8.671 % |
|      7499 | 3915784  9825334 | 3077675    7387  4572400   619.0 |  8.671 % |
|     11343 | 3915812  9825325 | 3385443   11193  7771150   694.3 |  8.671 % |
|     17115 | 3915857  9825298 | 3723987   16890 11683808   691.8 |  8.672 % |
|     25766 | 3915930  9825298 | 4096386   25468 18157111   712.9 |  8.672 % |
|     38740 | 3916087  9825262 | 4506025   38247 24372342   637.2 |  8.673 % |
|     58202 | 3916140  9825208 | 4956627   57611 29201296   506.9 |  8.673 % |
|     87396 | 3916276  9825190 | 5452290   86641 49709180   573.7 |  8.673 % |
|    131187 | 3916394  9825145 | 5997519  130255 86708034   665.7 |  8.676 % |
|    196871 | 3916502  9824956 | 6597271  195618 137120942   701.0 |  8.677 % |
|    295397 | 3916671  9824857 | 7256998  293865 212010809   721.5 |  8.679 % |
|    443187 | 3916793  9824497 | 7982698  441167 333670562   756.3 |  8.684 % |
|    664870 | 3917224  9824437 | 8780968  662307 518636110   783.1 |  8.687 % |
|    997395 | 3891597  9782452 | 9659065  994000 799783434   804.6 |  9.334 % |
