Reading from standard input... Use '-h' or '--help' for help.
==================================[MINISAT]===================================
| Conflicts |     ORIGINAL     |              LEARNT              | Progress |
|           | Clauses Literals |   Limit Clauses Literals  Lit/Cl |          |
==============================================================================
|         0 | 3917777  9828505 | 1305925       0        0     nan |  0.000 % |
|       109 | 3917778  9828505 | 1436517     108    28583   264.7 |  8.618 % |
|       259 | 3917786  9828505 | 1580169     249    66053   265.3 |  8.618 % |
|       485 | 3917788  9828505 | 1738186     473   131203   277.4 |  8.618 % |
|       822 | 3917793  9828505 | 1912004     805   242753   301.6 |  8.618 % |
|      1328 | 3917793  9828505 | 2103205    1311   446310   340.4 |  8.618 % |
|      2087 | 3917806  9828505 | 2313525    2057   733698   356.7 |  8.618 % |
|      3227 | 3917818  9828496 | 2544878    3177  1012236   318.6 |  8.618 % |
|      4935 | 3917820  9828481 | 2799366    4869  2222408   456.4 |  8.618 % |
|      7497 | 3917876  9828481 | 3079302    7375  2964006   401.9 |  8.618 % |
|     11341 | 3917919  9828475 | 3387233   11168  3996349   357.8 |  8.618 % |
|     17107 | 3917930  9828397 | 3725956   16882  6221505   368.5 |  9.337 % |
|     25758 | 3889607  9785265 | 4098552   24889 10868089   436.7 |  9.350 % |
|     38732 | 3889642  9785247 | 4508407   37803 18139771   479.9 |  9.350 % |
|     58194 | 3889651  9785067 | 4959248   57055 37213065   652.2 |  9.354 % |
|     87387 | 3889475  9784725 | 5455172   86068 62740136   729.0 |  9.364 % |
|    131179 | 3888597  9783749 | 6000690  129745 90395481   696.7 |  9.395 % |
|    196866 | 3888169  9782993 | 6600759  195146 146281948   749.6 |  9.402 % |
|    295392 | 3887848  9782282 | 7260835  293377 222158007   757.2 |  9.413 % |
|    443186 | 3887025  9780647 | 7986918  439009 337464663   768.7 |  9.436 % |
|    664870 | 3887246  9780581 | 8785610  660379 530959317   804.0 |  9.445 % |
|    997395 | 3883444  9775635 | 9664171  991727 837534968   844.5 |  9.537 % |
