Reading from standard input... Use '-h' or '--help' for help.
==================================[MINISAT]===================================
| Conflicts |     ORIGINAL     |              LEARNT              | Progress |
|           | Clauses Literals |   Limit Clauses Literals  Lit/Cl |          |
==============================================================================
|         0 | 3917134  9828886 | 1305711       0        0     nan |  0.000 % |
|       109 | 3917135  9828886 | 1436282     108    28583   264.7 |  8.627 % |
|       260 | 3917142  9828886 | 1579910     250    46288   185.2 |  8.628 % |
|       485 | 3917150  9828886 | 1737901     467    91501   195.9 |  8.628 % |
|       825 | 3917159  9828886 | 1911691     798   348854   437.2 |  8.628 % |
|      1331 | 3917170  9828886 | 2102860    1293   463201   358.2 |  8.628 % |
|      2090 | 3917186  9828886 | 2313146    2035   877485   431.2 |  8.628 % |
|      3231 | 3917191  9828886 | 2544461    3171  1131854   356.9 |  8.628 % |
|      4940 | 3917198  9828859 | 2798907    4851  2190236   451.5 |  8.628 % |
|      7502 | 3917236  9828850 | 3078798    7364  3496255   474.8 |  8.628 % |
|     11364 | 3917274  9828850 | 3386678   11187  5220407   466.6 |  8.628 % |
|     17130 | 3917313  9828841 | 3725345   16903 10227644   605.1 |  8.629 % |
|     25779 | 3917361  9828814 | 4097880   25477 16222005   636.7 |  8.629 % |
|     38753 | 3917375  9828769 | 4507668   38390 27886437   726.4 |  8.630 % |
|     58214 | 3917485  9828751 | 4958435   57723 36881689   638.9 |  8.630 % |
|     87408 | 3917570  9828751 | 5454278   86830 87914314  1012.5 |  8.630 % |
|    131197 | 3917682  9828670 | 5999706  130418 116708930   894.9 |  8.631 % |
|    196881 | 3917903  9828607 | 6599677  195813 170847382   872.5 |  8.632 % |
|    295407 | 3918088  9828535 | 7259645  294063 246134370   837.0 |  8.634 % |
|    443196 | 3918022  9828124 | 7985609  441480 358226262   811.4 |  8.641 % |
|    664881 | 3918090  9827950 | 8784170  662856 545122350   822.4 |  8.644 % |
|    997406 | 3918276  9827830 | 9662587  994993 819763076   823.9 |  8.648 % |
